timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista,tempo_s,Fase,Classe_Prevista
1774391050407,-0.012767,0.972309,0.128082,4.35046e-11,-1.4263100000000004e-10,9.554470000000004e-11,0,0,3.27714,5,0.489,2,2.0
1774391050420,-0.0126839,0.972633,0.128063,4.49534e-11,-1.40268e-10,9.435249999999999e-11,0,0,3.26195,5,0.502,2,2.0
1774391050434,-0.0126844,0.972974,0.128239,4.60963e-11,-1.37433e-10,9.24877e-11,0,0,3.29864,5,0.516,2,2.0
1774391050447,-0.0124707,0.973263,0.128348,4.62978e-11,-1.35205e-10,9.016640000000001e-11,0,0,3.50866,5,0.529,2,2.0
1774391050461,-0.0126606,0.973741,0.128486,4.5441600000000006e-11,-1.33021e-10,8.867969999999999e-11,0,0,3.30486,5,0.543,2,2.0
1774391050474,-0.0128633,0.973915,0.128438,4.572300000000001e-11,-1.2996500000000003e-10,8.771550000000001e-11,0,0,3.27358,5,0.556,2,2.0
1774391050488,-0.0127555,0.974302,0.12807,4.51631e-11,-1.27827e-10,8.502770000000002e-11,0,0,3.61246,5,0.57,2,2.0
1774391050501,-0.0129524,0.974327,0.128186,4.5762900000000006e-11,-1.272e-10,8.332020000000001e-11,0,0,3.28323,5,0.583,2,2.0
1774391050515,-0.0124985,0.974805,0.128218,4.645780000000001e-11,-1.2661000000000002e-10,8.17119e-11,0,0,3.24797,5,0.597,2,2.0
1774391050528,-0.0126176,0.974884,0.128227,4.7069199999999996e-11,-1.2389200000000004e-10,8.041280000000001e-11,0,0,3.29927,5,0.61,2,2.0
1774391050541,-0.0125552,0.974894,0.127917,4.5874400000000006e-11,-1.2284200000000003e-10,7.962060000000002e-11,0,0,3.25001,5,0.623,2,2.0
1774391050555,-0.0125615,0.975001,0.127907,4.505040000000001e-11,-1.2073100000000001e-10,7.835600000000002e-11,0,0,3.28305,5,0.637,2,2.0
1774391050568,-0.0125456,0.975411,0.127995,4.405800000000001e-11,-1.1818e-10,7.802630000000002e-11,0,0,3.26105,5,0.65,2,2.0
1774391050582,-0.0127488,0.97556,0.128047,4.35963e-11,-1.17327e-10,7.711230000000002e-11,0,0,3.71807,5,0.664,2,2.0
1774391050595,-0.0127246,0.975681,0.128096,4.255820000000001e-11,-1.17254e-10,7.64227e-11,0,0,3.2732,5,0.677,2,2.0
1774391050609,-0.0128212,0.975775,0.12835,4.1235000000000007e-11,-1.17185e-10,7.53851e-11,0,0,3.24521,5,0.691,2,2.0
1774391050622,-0.0129134,0.975984,0.128244,3.934190000000001e-11,-1.1608700000000002e-10,7.47506e-11,0,0,3.28764,5,0.704,2,2.0
1774391050635,-0.0127519,0.976237,0.128198,3.8674e-11,-1.1625600000000001e-10,7.324940000000001e-11,0,0,3.2521,5,0.717,2,2.0
1774391050649,-0.0126519,0.976436,0.127991,3.8301800000000005e-11,-1.1620099999999999e-10,7.25637e-11,0,0,3.59538,5,0.731,2,2.0
1774391050663,-0.0131189,0.976744,0.12761,3.7564100000000006e-11,-1.1412900000000003e-10,7.15733e-11,0,0,3.27488,5,0.745,2,2.0
1774391050677,-0.0131758,0.976963,0.127462,3.807030000000001e-11,-1.1260500000000001e-10,7.102540000000002e-11,0,0,4.50405,5,0.759,2,2.0
