timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista,tempo_s,Fase
1774299874496,-0.0,0.660213,0.00374474,0.0596732,0.035181300000000006,0.0065781500000000005,3.86749,-1,0.0,0
1774299874510,0.00900232,0.794442,0.00478798,0.0713621,0.037048899999999996,0.0056406699999999995,3.40758,-1,0.014,0
1774299874524,0.013007,0.854798,0.00937187,0.0779354,0.034455,0.00312712,3.29026,-1,0.028,0
1774299874537,0.0197819,0.891636,0.0150455,0.0851895,0.028797100000000003,0.0006619800000000001,3.26076,-1,0.041,0
1774299874550,0.0232947,0.910912,0.0193873,0.0913177,0.020853700000000003,0.000431124,3.25767,-1,0.054,0
1774299874564,0.0200164,0.924802,0.0242843,0.0943582,0.0135362,0.000986684,3.26682,-1,0.068,0
1774299874577,0.0131095,0.934158,0.0279905,0.09721460000000001,0.0108724,-1.9682e-05,3.25791,-1,0.081,0
1774299874591,0.00840095,0.939672,0.0323006,0.0984404,0.011151500000000002,-0.00265468,3.25919,-1,0.095,0
1774299874604,0.00590665,0.94618,0.036881,0.0997732,0.0119924,-0.0043222899999999995,3.25407,-1,0.108,0
1774299874617,0.00446928,0.950489,0.0398186,0.101409,0.011022700000000002,-0.00468361,3.3256,0,0.121,0
1774299874631,0.000672107,0.953681,0.0426476,0.10129300000000001,0.00956732,-0.00437078,3.26508,0,0.135,0
1774299874644,-0.00489991,0.955484,0.0452088,0.0994561,0.00912523,-0.00325544,3.25537,0,0.148,0
1774299874657,-0.0100166,0.95685,0.0474645,0.09669570000000001,0.010529,-0.00204477,3.27872,0,0.161,0
1774299874671,-0.0132094,0.959226,0.0495729,0.0940645,0.0129585,-0.00129384,3.2515,5,0.175,0
1774299874684,-0.01556,0.960537,0.0505238,0.0913241,0.0153451,-0.0006353490000000001,3.26385,5,0.188,0
1774299874698,-0.0192005,0.961732,0.0519997,0.0878787,0.0184775,0.00088588,3.51722,5,0.202,0
1774299874711,-0.0237795,0.961941,0.052592,0.08368439999999999,0.022466200000000002,0.00242368,3.26722,5,0.215,0
1774299874724,-0.0296021,0.962114,0.0525221,0.0786609,0.028481100000000002,0.00434266,3.27667,5,0.228,0
1774299874738,-0.0330417,0.962239,0.0525966,0.0728844,0.0365055,0.00569589,3.27648,5,0.242,0
1774299874751,-0.0328884,0.964415,0.0524418,0.0682311,0.0436321,0.00786335,3.30037,5,0.255,0
1774299874765,-0.0327051,0.965392,0.0513202,0.0644379,0.0486742,0.0114224,3.27693,1,0.269,0
1774299874778,-0.0342509,0.966779,0.0499266,0.059939099999999995,0.0532693,0.014815400000000001,3.28987,1,0.282,0
1774299874791,-0.0358657,0.967836,0.0489594,0.0556986,0.058676700000000005,0.0171096,3.27567,1,0.295,0
1774299874805,-0.0361892,0.968759,0.0474216,0.0515831,0.06430860000000001,0.0194221,3.32999,1,0.309,0
1774299874818,-0.0341326,0.969825,0.0459573,0.046805000000000006,0.0684351,0.0220704,3.29352,1,0.322,0
1774299874831,-0.0312778,0.972069,0.0451267,0.0422763,0.0704557,0.024678900000000004,3.2798,1,0.335,0
1774299874845,-0.0294703,0.974135,0.044124,0.0378819,0.0706241,0.026683500000000002,3.28443,1,0.349,0
1774299874858,-0.0282461,0.975988,0.043551,0.0333884,0.07039640000000001,0.0283296,3.27596,1,0.362,0
1774299874872,-0.0270881,0.977698,0.0427059,0.0295938,0.0702394,0.029931600000000003,3.27374,1,0.376,0
1774299874885,-0.0256242,0.978667,0.0421943,0.0257902,0.06934560000000001,0.0315169,3.28135,1,0.389,0
1774299874898,-0.0234771,0.979769,0.0415689,0.022007099999999998,0.0679451,0.032630900000000004,3.304,1,0.402,0
1774299874912,-0.0208842,0.981272,0.0409449,0.0186002,0.06570430000000001,0.0331777,3.30415,1,0.416,0
1774299874925,-0.0179686,0.982167,0.0400259,0.0155097,0.0624346,0.0338192,3.26348,1,0.429,0
1774299874938,-0.0158631,0.982871,0.0389832,0.0120799,0.058445000000000004,0.0342021,3.27204,1,0.442,0
1774299874952,-0.0149796,0.983548,0.03801,0.00839844,0.0549968,0.0341841,3.25824,1,0.456,0
1774299874965,-0.0146522,0.984545,0.0370785,0.00497049,0.0524239,0.033721100000000004,3.26374,1,0.469,0
1774299874978,-0.0134594,0.985053,0.0354974,0.0018355,0.0507433,0.0324984,3.26122,1,0.482,0
1774299874992,-0.0120331,0.986081,0.0343872,-0.00132483,0.0492829,0.030998500000000002,3.26524,5,0.496,0
1774299875005,-0.0104657,0.987204,0.0329835,-0.00363884,0.0477876,0.0292035,3.31271,5,0.509,0
1774299875019,-0.00817804,0.98837,0.0314938,-0.00534332,0.045765700000000006,0.027698900000000002,3.27109,5,0.523,0
1774299875032,-0.00654497,0.988916,0.0301582,-0.00654598,0.0433319,0.026287699999999997,3.29004,5,0.536,0
1774299875045,-0.00587654,0.988373,0.02823,-0.00819972,0.0406283,0.0246291,3.27448,5,0.549,0
1774299875059,-0.00606501,0.988713,0.0269984,-0.010568500000000002,0.0391555,0.022077700000000002,3.27276,5,0.563,0
1774299875072,-0.00505731,0.989914,0.0259602,-0.0112385,0.0385098,0.019011800000000002,3.27246,5,0.576,0
1774299875085,-0.00310344,0.99089,0.0249836,-0.0110774,0.0376245,0.0160676,3.27632,5,0.589,0
1774299875099,-6.4096e-05,0.991666,0.024076,-0.0113017,0.035337600000000004,0.012887299999999999,3.274,5,0.603,0
1774299875112,0.00239035,0.992228,0.0230688,-0.0110769,0.0314331,0.00974345,3.2976,5,0.616,0
1774299875126,0.0045749,0.992851,0.0220874,-0.01014,0.0263851,0.00657752,3.28317,5,0.63,0
1774299875139,0.00614233,0.992865,0.0213164,-0.00853243,0.0208849,0.00354568,3.27215,5,0.643,0
1774299875152,0.00833515,0.99254,0.0205924,-0.00686172,0.014816000000000001,0.000527832,3.28398,5,0.656,0
1774299875166,0.0114067,0.99284,0.0200656,-0.00495915,0.007371379999999999,-0.0027741500000000004,3.26997,5,0.67,0
1774299875179,0.0153476,0.992224,0.0199547,-0.00284225,-0.0017274900000000001,-0.0059396499999999994,3.27654,5,0.683,0
1774299875192,0.018792,0.992494,0.0191648,-0.000665118,-0.0125925,-0.00869289,3.27309,5,0.696,0
1774299875206,0.0219049,0.993131,0.0182917,0.0026392700000000004,-0.0246116,-0.011775500000000001,3.65134,5,0.71,0
1774299875220,0.0249621,0.994811,0.0168629,0.00671014,-0.0373411,-0.015186,3.28339,5,0.724,0
1774299875233,0.0288753,0.996198,0.0148502,0.0117187,-0.051737700000000005,-0.0189789,3.27206,5,0.737,0
1774299875246,0.0372681,0.997825,0.011913,0.0169677,-0.069609,-0.023918300000000003,3.29508,5,0.75,0
1774299875260,0.0471594,1.00155,0.0100154,0.0240489,-0.09542410000000001,-0.0297674,3.27691,5,0.764,0
1774299875273,0.050436,1.00481,0.00821422,0.0362016,-0.12640700000000002,-0.034857,3.26659,5,0.777,0
1774299875286,0.0471648,1.0048,0.00581524,0.0503754,-0.15587199999999998,-0.0398653,3.27174,5,0.79,0
1774299875300,0.0419303,1.00508,0.00215658,0.0634368,-0.179335,-0.0436818,3.28032,5,0.804,0
1774299875313,0.0387162,1.00217,-0.00265081,0.0735918,-0.19809200000000002,-0.0433506,3.31275,5,0.817,0
1774299875327,0.0342372,0.998455,-0.00677027,0.0776864,-0.213511,-0.0420733,3.27345,5,0.831,0
1774299875340,0.0269063,0.999104,-0.00887925,0.07920110000000001,-0.223855,-0.0452151,3.29611,5,0.844,0
1774299875353,0.0184521,1.00049,-0.0111843,0.0822723,-0.225838,-0.0500918,3.28228,5,0.857,0
