timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,classe_prevista,tempo_s,Fase
1774300188773,0.0208403,0.667866,-0.0810817,-0.000411134,0.006108280000000001,-0.00334781,0,0,3.27477,-1,0.0,0
1774300188787,0.023349,0.801572,-0.097412,-0.000897419,0.008503460000000001,-0.00395154,0,0,3.27278,-1,0.014,0
1774300188800,0.0242156,0.858618,-0.104212,-0.0015554100000000001,0.0095659,-0.0040036,0,0,3.28216,-1,0.027,0
1774300188814,0.0252458,0.890548,-0.107122,-0.0017646200000000002,0.00974024,-0.00394156,0,0,3.28527,-1,0.041,0
1774300188827,0.0244616,0.909844,-0.110286,-0.0014241000000000002,0.00989348,-0.00412371,0,0,3.26812,-1,0.054,0
1774300188841,0.0241087,0.924209,-0.110834,-0.0013908400000000002,0.009986120000000001,-0.005025330000000001,0,0,3.81709,-1,0.068,0
1774300188854,0.0244859,0.934954,-0.112645,-0.00135559,0.0101195,-0.00483011,0,0,3.24555,-1,0.081,0
1774300188868,0.0243876,0.942551,-0.113649,-0.00136772,0.0099772,-0.00513026,0,0,3.24614,-1,0.095,0
1774300188881,0.0242016,0.948605,-0.115227,-0.0014127500000000002,0.0101393,-0.0052879,0,0,3.24836,-1,0.108,0
1774300188895,0.0247171,0.953657,-0.115697,-0.00116436,0.00998605,-0.00543225,0,0,3.37541,0,0.122,0
1774300188908,0.0250997,0.957785,-0.116385,-0.00106411,0.00979075,-0.00558987,0,0,3.31347,0,0.135,0
1774300188922,0.0251676,0.961572,-0.117306,-0.0010007,0.009611610000000001,-0.005680460000000001,0,0,3.27804,0,0.149,0
1774300188935,0.0252859,0.965039,-0.118096,-0.00103348,0.00965911,-0.00569109,0,0,3.32232,0,0.162,0
1774300188948,0.0254262,0.967556,-0.118536,-0.00091529,0.00971946,-0.00582782,0,0,3.29897,5,0.175,0
1774300188962,0.0254955,0.969978,-0.11885,-0.0008482489999999999,0.00944297,-0.00586842,0,0,3.2726,5,0.189,0
1774300188975,0.0253509,0.971779,-0.118888,-0.0008945210000000001,0.009397790000000001,-0.0057811500000000005,0,0,3.28747,5,0.202,0
1774300188989,0.0256826,0.973335,-0.119316,-0.00113977,0.00944249,-0.005743000000000001,0,0,3.32915,5,0.216,0
1774300189002,0.0256478,0.975017,-0.119384,-0.00141488,0.00943317,-0.00562634,0,0,3.32108,5,0.229,0
1774300189016,0.0263816,0.975833,-0.119368,-0.0019733899999999998,0.00914674,-0.00521624,0,0,3.28073,5,0.243,0
1774300189029,0.026529,0.976664,-0.11928,-0.0024020400000000003,0.00893894,-0.005011,0,0,3.30279,5,0.256,0
1774300189043,0.0269231,0.977624,-0.119272,-0.00303284,0.008734180000000001,-0.00474729,0,0,3.30253,5,0.27,0
1774300189057,0.0258376,0.978869,-0.118759,-0.00330969,0.00876715,-0.0048865900000000006,0,0,3.80218,5,0.284,0
1774300189070,0.0262789,0.98055,-0.118904,-0.00354921,0.0087285,-0.00485206,0,0,3.28056,5,0.297,0
1774300189083,0.0254245,0.981835,-0.11885,-0.00358076,0.00863954,-0.00500451,0,0,3.27293,5,0.31,0
1774300189097,0.0250673,0.983472,-0.118865,-0.00383475,0.00854779,-0.00485832,0,0,3.28906,5,0.324,0
1774300189110,0.0247612,0.984917,-0.118854,-0.00408887,0.00861408,-0.00461895,0,0,3.27651,5,0.337,0
1774300189124,0.0250483,0.985054,-0.11878,-0.00438081,0.008713,-0.00434069,0,0,3.28888,5,0.351,0
1774300189137,0.0255921,0.985908,-0.118836,-0.00467078,0.008855920000000001,-0.00391989,0,0,3.2758,5,0.364,0
