timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista,tempo_s,Fase,Classe_Prevista
1774299647557,0.0218172,-0.663795,0.167048,-0.21420100000000003,-0.228003,0.306354,3.28492,-1,0.0,0,
1774299647571,0.0286312,-0.805591,0.200099,-0.286573,-0.12419100000000001,0.23044599999999998,3.27809,-1,0.014,0,
1774299647584,0.0441748,-0.903054,0.180989,-0.33463099999999996,-0.09262600000000001,0.19855599999999998,3.27703,-1,0.027,0,
1774299647598,0.0556773,-0.944128,0.182066,-0.361023,-0.0806319,0.18604600000000002,3.744,-1,0.041,0,
1774299647611,0.0772996,-1.00976,0.17095,-0.386147,-0.0819388,0.175231,3.2624,-1,0.054,0,
1774299647625,0.0901334,-1.0374,0.161769,-0.43013199999999996,-0.09501110000000001,0.164101,3.25849,-1,0.068,0,
1774299647638,0.0881488,-1.04229,0.163693,-0.464576,-0.11590299999999999,0.163403,3.29248,-1,0.081,0,
1774299647651,0.0741136,-1.07303,0.144808,-0.49936300000000006,-0.12814,0.157107,3.2502,-1,0.094,0,
1774299647665,0.0515603,-1.09022,0.140459,-0.537808,-0.129968,0.132981,3.27055,-1,0.108,0,
1774299647678,0.0287824,-1.1014,0.128521,-0.5724750000000001,-0.121121,0.100966,3.33814,0,0.121,0,
1774299647692,0.0190125,-1.11201,0.12721,-0.588145,-0.113642,0.0691978,3.38246,0,0.135,0,
1774299647705,0.0139914,-1.1151,0.129231,-0.591622,-0.113212,0.037867000000000005,3.27105,0,0.148,0,
1774299647718,0.000450361,-1.12996,0.11561,-0.605172,-0.122272,-0.00291432,3.26874,0,0.161,0,
1774299647732,-0.0229961,-1.13166,0.0999162,-0.615043,-0.11227100000000001,-0.0388893,3.28614,1,0.175,0,
1774299647745,-0.037377,-1.1334,0.0928721,-0.627285,-0.0875732,-0.0629268,3.29777,1,0.188,0,
1774299647759,-0.0375469,-1.1254,0.0895722,-0.6430920000000001,-0.061579100000000005,-0.0774083,3.29711,1,0.202,0,
1774299647772,-0.0390802,-1.10935,0.0921074,-0.65556,-0.0428481,-0.0821621,3.28429,1,0.215,0,
1774299647786,-0.0338836,-1.09616,0.0895688,-0.661248,-0.0234341,-0.0792756,3.31677,1,0.229,0,
1774299647799,-0.0329227,-1.07216,0.0988298,-0.652938,-0.0013536300000000002,-0.072205,3.28048,1,0.242,0,
1774299647813,-0.0316789,-1.04226,0.122699,-0.628703,0.0216615,-0.06446729999999999,3.71327,1,0.256,0,
1774299647826,-0.029347,-1.01721,0.145181,-0.604494,0.0468217,-0.0564323,3.28857,1,0.269,0,
1774299647840,-0.0165329,-0.990804,0.16547,-0.5707490000000001,0.06499780000000001,-0.0451807,3.29,2,0.283,0,
1774299647853,-0.0011991,-0.967765,0.183939,-0.531988,0.0699785,-0.023200699999999998,3.31161,2,0.296,0,
1774299647867,0.0116482,-0.943693,0.201253,-0.48672800000000005,0.0648249,0.00869872,3.28064,2,0.31,0,
1774299647880,0.0199979,-0.923719,0.218993,-0.435126,0.0529643,0.043249300000000004,3.3052,2,0.323,0,
1774299647893,0.0234512,-0.906128,0.234948,-0.37821800000000005,0.0370319,0.0757652,3.28103,5,0.336,0,
1774299647907,0.023832,-0.893302,0.248374,-0.316372,0.0211848,0.10578699999999999,3.83228,5,0.35,0,
1774299647921,0.0265431,-0.884206,0.259959,-0.252959,0.00500096,0.13145400000000002,3.28929,5,0.364,0,
1774299647934,0.0275105,-0.876473,0.268526,-0.18729800000000002,-0.010264500000000001,0.153195,3.28955,5,0.377,0,
1774299647948,0.0269652,-0.873031,0.275704,-0.118467,-0.0210213,0.17250800000000002,3.32061,5,0.391,0,
1774299647961,0.0260307,-0.873321,0.280249,-0.0508882,-0.0284379,0.18639500000000003,3.27848,5,0.404,0,
1774299647974,0.0216175,-0.875911,0.28228,0.016696,-0.029915600000000004,0.19346800000000003,3.31192,5,0.417,0,
1774299647988,0.0183707,-0.883956,0.283803,0.0822061,-0.026492900000000003,0.19314900000000002,3.28431,5,0.431,0,
1774299648001,0.013409,-0.897171,0.28361,0.139226,-0.0179558,0.18672999999999998,3.37031,4,0.444,0,
1774299648015,0.00980469,-0.909199,0.281497,0.190109,-0.00509122,0.176048,3.27876,4,0.458,0,
1774299648028,0.00844055,-0.922324,0.278784,0.23535799999999998,0.00925497,0.16438,3.2752,4,0.471,0,
1774299648041,0.0115533,-0.936925,0.276618,0.273094,0.021695000000000002,0.153589,3.31039,4,0.484,0,
1774299648055,0.0180351,-0.95259,0.274646,0.30036999999999997,0.0288571,0.145188,3.29817,4,0.498,0,
1774299648068,0.0248712,-0.959733,0.271813,0.322336,0.0305422,0.140338,3.30894,4,0.511,0,
1774299648082,0.0319093,-0.96245,0.270433,0.34771700000000005,0.0265331,0.137537,3.28,4,0.525,0,
1774299648095,0.0369298,-0.96467,0.269426,0.37414499999999995,0.0193146,0.13564700000000002,3.32615,4,0.538,0,
1774299648109,0.0416655,-0.967047,0.269196,0.402482,0.00960297,0.13222899999999999,3.28011,4,0.552,0,
1774299648123,0.0455657,-0.970442,0.268989,0.428587,-0.00185399,0.126692,3.68872,4,0.566,0,
1774299648136,0.0469009,-0.973804,0.267172,0.45202,-0.014099600000000002,0.118851,3.28646,4,0.579,0,
1774299648149,0.0482928,-0.979159,0.265698,0.47006300000000006,-0.026413500000000003,0.109297,3.29392,4,0.592,0,
1774299648163,0.0478761,-0.981886,0.263887,0.479806,-0.0387501,0.09968080000000001,3.2942,5,0.606,0,
