timestamp,ax,ay,az,gx,gy,gz,roll,pitch,delay_ms,arquivo_id,arquivo_nome,Fase,tem_rotulo_real,tempo_s,pitch_k,acc_norm,gyro_norm,d_ax,dd_ax,d_ay,dd_ay,d_az,dd_az,d_gx,dd_gx,d_gy,dd_gy,d_gz,dd_gz,d_roll,dd_roll,d_pitch_k,dd_pitch_k,d_acc_norm,dd_acc_norm,d_gyro_norm,dd_gyro_norm,jerk_acc,jerk_gyro,classe_prevista,confianca_prevista
1777327335993,0.0535355,0.775419,-0.0982423,0.000293667,-0.00681308,0.00745915,88.46204330701956,0,3.27924,999,alog_newF11.csv,0,False,0.0,-3.565256355945865,0.7834489293058865,0.010106592804490987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1.0
1777327336006,0.0597844,0.875443,-0.111928,-0.000998966,-0.00740367,0.0101639,92.89572907073865,0,3.26645,999,alog_newF11.csv,0,False,0.013,-3.7210132987149747,0.8845917125523841,0.012614163695943382,0.006248900000000002,0.006248900000000002,0.100024,0.100024,-0.013685699999999995,-0.013685699999999995,-0.001292633,-0.001292633,-0.0005905900000000002,-0.0005905900000000002,0.0027047499999999997,0.0027047499999999997,4.433685763719097,4.433685763719097,-0.15575694276910967,-0.15575694276910967,0.10114278324649761,0.10114278324649761,0.002507570891452395,0.002507570891452395,0.10114278324649761,0.002507570891452395,5,1.0
1777327336020,0.0629974,0.915989,-0.116886,-0.00122992,-0.0076835,0.0114884,94.54103982240204,0,3.27956,999,alog_newF11.csv,0,False,0.027,-3.7893543028541603,0.9255629948975704,0.013875597645377297,0.0032129999999999936,-0.003035900000000008,0.04054600000000008,-0.05947799999999992,-0.004958000000000004,0.008727699999999991,-0.000230954,0.001061679,-0.00027983,0.0003107600000000002,0.0013244999999999993,-0.0013802500000000004,1.6453107516633878,-2.7883750120557096,-0.06834100413918565,0.08741593862992403,0.04097128234518632,-0.06017150090131129,0.0012614339494339145,-0.0012461369420184807,0.04097128234518632,0.0012614339494339145,5,1.0
1777327336033,0.0661037,0.938387,-0.119663,-0.00151588,-0.00756375,0.0125053,95.42013708122397,0,3.27778,999,alog_newF11.csv,0,False,0.04,-3.8563867424958267,0.9482927261619641,0.0146932206927855,0.0031063000000000063,-0.00010669999999998736,0.022397999999999918,-0.018148000000000164,-0.0027770000000000017,0.0021810000000000024,-0.00028596000000000003,-5.500600000000002e-05,0.00011975000000000006,0.0003995800000000001,0.0010169000000000011,-0.00030759999999999815,0.879097258821929,-0.7662134928414588,-0.06703243964166639,0.00130856449751926,0.022729731264393704,-0.018241551080792617,0.0008176230474082041,-0.0004438109020257104,0.022729731264393704,0.0008176230474082041,5,1.0
1777327336046,0.0702137,0.950748,-0.122483,-0.00165054,-0.00803387,0.012287,95.99059511721444,0,3.26996,999,alog_newF11.csv,0,False,0.053,-3.9552288665340343,0.9611731417703525,0.01477287102998263,0.0041100000000000025,0.0010036999999999963,0.012361000000000066,-0.010036999999999852,-0.002819999999999989,-4.299999999998749e-05,-0.00013466,0.00015130000000000005,-0.0004701200000000001,-0.0005898700000000002,-0.00021830000000000113,-0.0012352000000000023,0.5704580359904696,-0.3086392228314594,-0.09884212403820758,-0.031809684396541194,0.012880415608388374,-0.00984931565600533,7.965033719712841e-05,-0.0007379727102110756,0.012880415608388374,7.965033719712841e-05,5,1.0
1777327336060,0.0721528,0.959631,-0.123657,-0.00165528,-0.00823123,0.0119619,96.37481121698416,0,3.28107,999,alog_newF11.csv,0,False,0.067,-4.043185514322689,0.9702518932513556,0.01461438164279625,0.0019390999999999992,-0.0021709000000000034,0.008882999999999974,-0.003478000000000092,-0.0011740000000000084,0.0016459999999999808,-4.740000000000039e-06,0.00012991999999999995,-0.0001973600000000006,0.0002727599999999995,-0.00032510000000000004,-0.00010679999999999891,0.3842160997697164,-0.18624193622075325,-0.08795664778865442,0.010885476249553161,0.009078751481003122,-0.0038016641273852514,-0.00015848938718637968,-0.0002381397243835081,0.009078751481003122,-0.00015848938718637968,2,0.7413829389508172
1777327336073,0.0719589,0.966541,-0.123605,-0.00186674,-0.00840827,0.011582,96.62817027625142,0,3.26857,999,alog_newF11.csv,0,False,0.08,-4.093243232642939,0.9770659056559132,0.014433518165038628,-0.00019389999999999685,-0.002132999999999996,0.006909999999999972,-0.0019730000000000025,5.1999999999996493e-05,0.0012260000000000049,-0.0002114599999999999,-0.00020671999999999986,-0.00017703999999999984,2.0320000000000754e-05,-0.000379899999999999,-5.479999999999895e-05,0.2533590592672681,-0.13085704050244829,-0.05005771832025019,0.03789892946840423,0.00681401240455759,-0.002264739076445532,-0.00018086347775762152,-2.237409057124183e-05,0.00681401240455759,-0.00018086347775762152,2,0.7413829389508172
1777327336087,0.0731854,0.97226,-0.124564,-0.00156925,-0.00852404,0.0105492,96.81253367540415,0,3.27389,999,alog_newF11.csv,0,False,0.094,-4.141677859420515,0.9829352982110064,0.013653110419391618,0.0012264999999999915,0.0014203999999999883,0.00571900000000003,-0.001190999999999942,-0.0009589999999999876,-0.0010109999999999841,0.0002974900000000001,0.00050895,-0.00011576999999999942,6.127000000000042e-05,-0.0010328000000000004,-0.0006529000000000014,0.1843633991527298,-0.06899566011453828,-0.04843462677757593,0.0016230915426742598,0.0058693925550932224,-0.0009446198494643676,-0.0007804077456470097,-0.0005995442678893882,0.0058693925550932224,-0.0007804077456470097,2,0.7413829389508172
1777327336100,0.073362,0.976414,-0.12402,-0.00135168,-0.00866876,0.00908562,96.92855406352126,0,3.52783,999,alog_newF11.csv,0,False,0.107,-4.174617729279986,0.9869889780742235,0.012630238697047652,0.00017659999999999898,-0.0010498999999999925,0.004153999999999991,-0.0015650000000000386,0.0005439999999999889,0.0015029999999999766,0.00021756999999999983,-7.992000000000025e-05,-0.00014471999999999922,-2.894999999999981e-05,-0.001463579999999999,-0.00043077999999999866,0.11602038811710713,-0.06834301103562268,-0.03293986985947139,0.015494756918104535,0.00405367986321703,-0.0018157126918761923,-0.0010228717223439657,-0.000242463976696956,0.00405367986321703,-0.0010228717223439657,2,0.7413829389508172
1777327336114,0.0734794,0.97992,-0.123343,-0.00114237,-0.00857464,0.00727791,96.9951666225689,0,3.24513,999,alog_newF11.csv,0,False,0.121,-4.196383404067716,0.9903817063503142,0.011304752731245385,0.00011740000000000361,-5.919999999999537e-05,0.003506000000000009,-0.0006479999999999819,0.0006770000000000109,0.000133000000000022,0.0002093100000000001,-8.259999999999735e-06,9.411999999999962e-05,0.00023883999999999884,-0.0018077100000000006,-0.0003441300000000015,0.06661255904764118,-0.04940782906946595,-0.02176567478772995,0.011174195071741444,0.0033927282760907174,-0.0006609515871263127,-0.0013254859658022675,-0.0003026142434583018,0.0033927282760907174,-0.0013254859658022675,2,0.7413829389508172
