timestamp,ax,ay,az,gx,gy,gz,roll_k,pitch_k,delay_ms,arquivo_id,arquivo_nome,Fase,tem_rotulo_real,tempo_s,roll,acc_norm,gyro_norm,d_ax,dd_ax,d_ay,dd_ay,d_az,dd_az,d_gx,dd_gx,d_gy,dd_gy,d_gz,dd_gz,d_roll,dd_roll,d_pitch_k,dd_pitch_k,d_acc_norm,dd_acc_norm,d_gyro_norm,dd_gyro_norm,jerk_acc,jerk_gyro,classe_prevista,classe_prevista_nome,confianca_prevista
1777225951858,-0.017473,-0.65826,-0.0163299,0.0439054,-0.274673,0.243363,0,1.3831062257547062,3.25833,999,log_newX5.csv,0,False,0.0,-83.18494993393648,0.6586943137472875,0.3695923306119325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Swing,1.0
1777225951871,-0.0219971,-0.793569,-0.0176357,0.0330447,-0.176391,0.128038,0,1.4857542450601309,3.2757,999,log_newX5.csv,0,False,0.013,-87.2489594320077,0.7940696745776782,0.2204528668969628,-0.0045241,-0.0045241,-0.135309,-0.135309,-0.0013057999999999993,-0.0013057999999999993,-0.010860699999999994,-0.010860699999999994,0.09828200000000001,0.09828200000000001,-0.11532499999999998,-0.11532499999999998,-4.064009498071215,-4.064009498071215,0.10264801930542466,0.10264801930542466,0.1353753608303907,0.1353753608303907,-0.14913946371496967,-0.14913946371496967,0.1353753608303907,-0.14913946371496967,5,Swing,1.0
1777225951885,-0.0285011,-0.854039,-0.0195938,0.0246653,-0.142844,0.0914846,0,1.6455815384097319,3.26644,999,log_newX5.csv,0,False,0.027,-88.77736295145422,0.8547390497810721,0.17141241902863982,-0.006504000000000003,-0.001979900000000003,-0.060470000000000024,0.07483899999999999,-0.001958100000000001,-0.0006523000000000015,-0.008379400000000002,0.002481299999999992,0.033546999999999993,-0.06473500000000001,-0.036553400000000014,0.07877159999999997,-1.5284035194465275,2.5356059786246874,0.159827293349601,0.05717927404417633,0.06066937520339388,-0.07470598562699682,-0.049040447868322984,0.10009901584664668,0.06066937520339388,-0.049040447868322984,5,Swing,1.0
1777225951898,-0.0357905,-0.888095,-0.0198152,0.0197804,-0.126443,0.0715435,0,1.8589421565138298,3.27817,999,log_newX5.csv,0,False,0.04,-89.58381304376873,0.8890367433724491,0.1466204926516413,-0.0072894000000000014,-0.0007853999999999986,-0.034055999999999975,0.02641400000000005,-0.00022140000000000007,0.0017367000000000007,-0.004884900000000001,0.003494500000000001,0.016401,-0.017145999999999995,-0.019941100000000003,0.01661230000000001,-0.8064500923145062,0.7219534271320214,0.2133606181040979,0.0535333247544969,0.03429769359137702,-0.026371681612016862,-0.024791926376998535,0.02424852149132445,0.03429769359137702,-0.024791926376998535,5,Swing,1.0
1777225951912,-0.0392092,-0.910633,-0.0180317,0.014226,-0.118404,0.0549704,0,2.0389366162333586,3.26463,999,log_newX5.csv,0,False,0.054,-90.04433224776983,0.9116550686847137,0.13131500739884988,-0.0034186999999999967,0.0038707000000000047,-0.022538000000000058,0.011517999999999917,0.0017835000000000004,0.0020049000000000004,-0.005554399999999999,-0.0006694999999999982,0.008039000000000004,-0.008361999999999994,-0.016573099999999993,0.00336800000000001,-0.4605192040011019,0.34593088831340424,0.17999445971952888,-0.03336615838456902,0.022618325312264598,-0.011679368279112423,-0.015305485252791406,0.009486441124207129,0.022618325312264598,-0.015305485252791406,5,Swing,1.0
1777225951925,-0.0437562,-0.924856,-0.0190345,0.00933836,-0.113775,0.0429222,0,2.229113748210952,3.47733,999,log_newX5.csv,0,False,0.067,-90.36679417295646,0.9260861396029475,0.12196011989715982,-0.004547000000000002,-0.0011283000000000057,-0.014222999999999986,0.008315000000000072,-0.0010027999999999981,-0.0027862999999999985,-0.00488764,0.0006667599999999989,0.004628999999999994,-0.0034100000000000102,-0.012048200000000002,0.004524899999999991,-0.3224619251866301,0.13805727881447183,0.19017713197759356,0.010182672258064684,0.014431070918233813,-0.008187254394030785,-0.009354887501690057,0.00595059775110135,0.014431070918233813,-0.009354887501690057,5,Swing,1.0
1777225951939,-0.0455364,-0.935002,-0.0184533,0.00743608,-0.10855,0.0333423,0,2.384141486458625,3.26148,999,log_newX5.csv,0,False,0.081,-90.57880271030065,0.9362920634128274,0.11379853582123277,-0.0017801999999999957,0.0027668000000000068,-0.010145999999999988,0.004076999999999997,0.0005812000000000005,0.0015839999999999986,-0.0019022800000000001,0.0029853600000000003,0.005225000000000007,0.0005960000000000132,-0.009579900000000002,0.0024682999999999997,-0.21200853734418956,0.11045338784244052,0.1550277382476728,-0.035149393729920764,0.010205923809879947,-0.004225147108353866,-0.008161584075927056,0.001193303425763001,0.010205923809879947,-0.008161584075927056,5,Swing,1.0
1777225951952,-0.0471568,-0.944894,-0.0201492,0.00400629,-0.105183,0.0248279,0,2.513586275825792,3.26148,999,log_newX5.csv,0,False,0.094,-90.75497866559841,0.9462845371678014,0.10814776219124508,-0.001620400000000001,0.00015979999999999467,-0.009892000000000012,0.00025399999999997647,-0.0016959000000000002,-0.0022771000000000007,-0.0034297900000000003,-0.0015275100000000002,0.003366999999999995,-0.0018580000000000124,-0.008514399999999998,0.001065500000000004,-0.17617595529776509,0.03583258204642448,0.12944478936716708,-0.025582948880505718,0.009992473754973918,-0.00021345005490602809,-0.005650773629987685,0.002510810445939371,0.009992473754973918,-0.005650773629987685,5,Swing,1.0
1777225951966,-0.0458849,-0.951885,-0.0193846,0.00134233,-0.102212,0.0175511,0,2.580449412121052,3.76159,999,log_newX5.csv,0,False,0.108,-90.86704679049085,0.9531874107383972,0.10371661344760008,0.0012718999999999994,0.0028923000000000004,-0.0069909999999999695,0.0029010000000000424,0.0007646000000000007,0.002460500000000001,-0.00266396,0.0007658300000000003,0.0029710000000000014,-0.0003959999999999936,-0.0072768,0.0012375999999999984,-0.11206812489243134,0.06410783040533374,0.06686313629526008,-0.062581653071907,0.006902873570595824,-0.003089600184378094,-0.0044311487436450026,0.0012196248863426823,0.006902873570595824,-0.0044311487436450026,5,Swing,1.0
1777225951979,-0.0455635,-0.958677,-0.0179332,-0.00074136,-0.101101,0.0131192,0,2.6184673632172375,3.26104,999,log_newX5.csv,0,False,0.121,-90.92255108063463,0.9599266755974073,0.10195133753065527,0.00032139999999999946,-0.0009505,-0.00679200000000002,0.00019899999999994922,0.0014513999999999985,0.0006867999999999978,-0.00208369,0.0005802699999999999,0.0011110000000000009,-0.0018600000000000005,-0.004431900000000001,0.002844899999999999,-0.055504290143787216,0.056563834748644126,0.03801795109618533,-0.028845185199074752,0.006739264859010108,-0.00016360871158571655,-0.0017652759169448085,0.002665872826700194,0.006739264859010108,-0.0017652759169448085,5,Swing,1.0
