timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista
1777240180704,-0.00413256,0.774292,-0.145955,0.0420531,-0.254962,0.20545,3.28001,-1
1777240180718,-0.00871645,0.876829,-0.16449,0.0306433,-0.150845,0.10275,3.27701,-1
1777240180732,-0.011868,0.917772,-0.174567,0.0256478,-0.109072,0.0709728,3.26984,-1
1777240180746,-0.0137899,0.938886,-0.178019,0.0227504,-0.0857311,0.0557869,3.65025,-1
1777240180759,-0.014144,0.950114,-0.180791,0.0214094,-0.0701745,0.0474964,3.32488,-1
1777240180772,-0.015629,0.957899,-0.181932,0.0198254,-0.0590603,0.0428467,3.24146,-1
1777240180786,-0.0148931,0.964112,-0.185006,0.0188542,-0.050634,0.0394497,3.26057,-1
1777240180799,-0.0149555,0.968424,-0.186388,0.0178676,-0.0438321,0.0371562,3.24242,-1
1777240180812,-0.0139848,0.972088,-0.187055,0.0170165,-0.0384525,0.0352802,3.25227,-1
1777240180826,-0.0137431,0.974701,-0.187806,0.0160646,-0.0340499,0.0335201,3.25851,-1
1777240180840,-0.0126958,0.976434,-0.188211,0.0150703,-0.0306152,0.0317038,3.75162,-1
1777240180853,-0.0116296,0.978714,-0.18878,0.0142233,-0.0273735,0.0297936,3.24957,-1
1777240180866,-0.0113588,0.980819,-0.188818,0.0135643,-0.0246888,0.0281095,3.25064,-1
1777240180880,-0.0111849,0.982849,-0.18885,0.0128204,-0.0224484,0.0264313,3.24701,-1
1777240180893,-0.0104082,0.984297,-0.188918,0.0123083,-0.0205874,0.0248376,3.24164,-1
1777240180906,-0.0111656,0.985279,-0.189241,0.0115853,-0.0187472,0.0234921,3.27227,-1
1777240180920,-0.0109167,0.986752,-0.18922,0.0108897,-0.0169023,0.0225926,3.25092,-1
1777240180934,-0.0103945,0.988198,-0.189623,0.0105015,-0.015367,0.0217576,3.73238,-1
1777240180947,-0.0103334,0.988717,-0.190022,0.00993173,-0.0141625,0.0212924,3.25084,-1
1777240180960,-0.0101944,0.990089,-0.1902,0.00917457,-0.0130639,0.0209483,3.33749,-1
1777240180974,-0.00990443,0.990229,-0.191342,0.00822894,-0.0121441,0.0205377,3.26109,-1
1777240180987,-0.0102157,0.990774,-0.191507,0.00699772,-0.0114574,0.0205324,3.25934,-1
1777240181001,-0.00982449,0.991842,-0.192036,0.00579789,-0.0109892,0.0208083,3.26994,-1
1777240181014,-0.00978973,0.992236,-0.192259,0.00453241,-0.0104802,0.0211207,3.26584,-1
1777240181028,-0.0100024,0.992753,-0.192665,0.00313846,-0.0102013,0.0219355,3.92388,-1
1777240181041,-0.00970055,0.993942,-0.192814,0.00178141,-0.00981073,0.0229831,3.26238,-1
1777240181055,-0.0100634,0.994598,-0.192069,0.000601518,-0.00929395,0.0246473,3.26962,-1
1777240181068,-0.00995651,0.995888,-0.19234,-0.000588147,-0.00867452,0.0267412,3.24625,-1
1777240181081,-0.00918137,0.997061,-0.192387,-0.0013747,-0.00815732,0.028627,3.23622,-1
1777240181095,-0.0082835,0.997921,-0.192212,-0.00203997,-0.0078572,0.029994,3.57433,0
1777240181109,-0.00689487,0.998594,-0.191657,-0.00246215,-0.00760858,0.0305103,3.39544,0
1777240181122,-0.00555328,0.998951,-0.19147,-0.00275343,-0.0074211,0.0304038,3.55853,0
