timestamp,ax,ay,az,gx,gy,gz,roll,pitch,delay_ms,arquivo_id,arquivo_nome,Fase,tem_rotulo_real,tempo_s,pitch_k,acc_norm,gyro_norm,d_ax,dd_ax,d_ay,dd_ay,d_az,dd_az,d_gx,dd_gx,d_gy,dd_gy,d_gz,dd_gz,d_roll,dd_roll,d_pitch_k,dd_pitch_k,d_acc_norm,dd_acc_norm,d_gyro_norm,dd_gyro_norm,jerk_acc,jerk_gyro,classe_prevista,classe_prevista_nome,confianca_prevista
1777250994672,0.0157789,0.775043,-0.0946733,0.0268999,-0.27546,0.210148,88.22878704474763,0,3.27814,999,log_newX9.csv,0,False,0.0,-1.0534081738920262,0.7809632893210154,0.34751114820104695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Foot-flat,1.0
1777250994686,0.0145412,0.879913,-0.110766,0.0130779,-0.165136,0.101141,92.72385738881488,0,3.32973,999,log_newX9.csv,0,False,0.014,-0.9961008892660513,0.8869765728712569,0.19408872158219292,-0.0012376999999999978,-0.0012376999999999978,0.10486999999999991,0.10486999999999991,-0.0160927,-0.0160927,-0.013822000000000001,-0.013822000000000001,0.11032399999999998,0.11032399999999998,-0.109007,-0.109007,4.495070344067244,4.495070344067244,0.0573072846259749,0.0573072846259749,0.10601328355024142,0.10601328355024142,-0.15342242661885402,-0.15342242661885402,0.10601328355024142,-0.15342242661885402,2,Foot-flat,1.0
1777250994699,0.0122641,0.918052,-0.116898,0.00729283,-0.120982,0.0697619,94.42798420742994,0,3.24734,999,log_newX9.csv,0,False,0.027,-0.9070463881196822,0.925545798573366,0.13984474385910578,-0.0022771000000000007,-0.0010394000000000028,0.038139000000000034,-0.06673099999999987,-0.0061319999999999986,0.009960700000000003,-0.00578507,0.008036930000000001,0.044154,-0.06616999999999998,-0.03137909999999999,0.07762790000000001,1.704126818615066,-2.790943525452178,0.08905450114636915,0.03174721652039425,0.03856922570210919,-0.06744405784813223,-0.054243977723087144,0.09917844889576688,0.03856922570210919,-0.054243977723087144,2,Foot-flat,1.0
1777250994712,0.011157,0.939676,-0.120478,0.00361153,-0.0968489,0.0555634,95.35612636683365,0,3.26727,999,log_newX9.csv,0,False,0.04,-0.8321306847135923,0.947433592453318,0.11171411728027439,-0.0011070999999999998,0.001170000000000001,0.021623999999999977,-0.016515000000000057,-0.00358,0.0025519999999999987,-0.0036813,0.0021037699999999996,0.024133100000000005,-0.020020899999999994,-0.014198500000000003,0.01718059999999999,0.9281421594037056,-0.7759846592113604,0.07491570340608988,-0.014138797740279263,0.02188779387995199,-0.0166814318221572,-0.02813062657883139,0.026113351144255753,0.02188779387995199,-0.02813062657883139,2,Foot-flat,1.0
1777250994726,0.0120192,0.953578,-0.120126,0.00113222,-0.0820783,0.0477727,95.89780394020092,0,3.26051,999,log_newX9.csv,0,False,0.054,-0.7977805994893419,0.9611897414811709,0.09497557643051398,0.0008622000000000005,0.0019693000000000002,0.013902000000000081,-0.007721999999999896,0.0003520000000000051,0.003932000000000005,-0.00247931,0.00120199,0.014770599999999995,-0.00936250000000001,-0.007790699999999998,0.006407800000000005,0.5416775733672665,-0.3864645860364391,0.034350085224250426,-0.04056561818183946,0.013756149027852826,-0.008131644852099162,-0.01673854084976041,0.01139208572907098,0.013756149027852826,-0.01673854084976041,2,Foot-flat,1.0
1777250994739,0.0124907,0.962758,-0.122888,-0.000268596,-0.072017,0.0433908,96.28889011474784,0,3.24432,999,log_newX9.csv,0,False,0.067,-0.7806002988780192,0.970649496313932,0.0840790221009451,0.0004714999999999997,-0.00039070000000000077,0.009179999999999966,-0.004722000000000115,-0.0027620000000000006,-0.0031140000000000057,-0.001400816,0.0010784940000000002,0.010061300000000009,-0.004709299999999986,-0.004381900000000001,0.0034087999999999966,0.3910861745469276,-0.1505913988203389,0.017180300611322696,-0.01716978461292773,0.00945975483276118,-0.004296394195091646,-0.010896554329568875,0.005841986520191536,0.00945975483276118,-0.010896554329568875,2,Foot-flat,1.0
1777250994752,0.0129052,0.969605,-0.124347,-0.000908828,-0.0644695,0.0403318,96.5717470193526,0,3.25227,999,log_newX9.csv,0,False,0.08,-0.7738706531446365,0.9776311045691213,0.07605127539905944,0.00041449999999999994,-5.699999999999976e-05,0.0068470000000000475,-0.0023329999999999185,-0.001459000000000002,0.0013029999999999986,-0.0006402319999999999,0.0007605840000000001,0.007547499999999999,-0.0025138000000000105,-0.0030589999999999992,0.0013229000000000019,0.2828569046047562,-0.10822926994217141,0.006729645733382639,-0.010450654877940058,0.006981608255189231,-0.002478146577571949,-0.008027746701885663,0.002868807627683212,0.006981608255189231,-0.008027746701885663,2,Foot-flat,1.0
1777250994766,0.0130033,0.9759,-0.124649,-0.000665535,-0.0587495,0.0381207,96.76553704068053,0,3.25382,999,log_newX9.csv,0,False,0.094,-0.7693116948774397,0.9839142589737634,0.07003666508034363,9.810000000000027e-05,-0.00031639999999999967,0.0062949999999999395,-0.000552000000000108,-0.0003019999999999967,0.0011570000000000052,0.000243293,0.0008835249999999999,0.005719999999999996,-0.0018275000000000027,-0.0022111000000000006,0.0008478999999999987,0.19379002132792778,-0.08906688327682843,0.004558958267196878,-0.002170687466185761,0.006283154404642111,-0.0006984538505471205,-0.006014610318715807,0.0020131363831698557,0.006283154404642111,-0.006014610318715807,2,Foot-flat,1.0
1777250994779,0.0131092,0.980057,-0.124095,-0.000154165,-0.0540749,0.0367175,96.88827861870259,0,3.26225,999,log_newX9.csv,0,False,0.107,-0.7668503555476757,0.9879692016447881,0.06536278285926346,0.00010589999999999905,7.79999999999878e-06,0.004156999999999966,-0.0021379999999999733,0.0005539999999999989,0.0008559999999999957,0.0005113699999999999,0.0002680769999999999,0.004674600000000001,-0.001045399999999995,-0.0014032000000000003,0.0008079000000000003,0.1227415780220582,-0.07104844330586957,0.0024613393297640007,-0.002097618937432877,0.004054942671024686,-0.0022282117336174245,-0.004673882221080172,0.001340728097635635,0.004054942671024686,-0.004673882221080172,2,Foot-flat,1.0
1777250994792,0.0128828,0.982523,-0.124868,0.000236812,-0.0501392,0.0357079,96.98445883807592,0,3.26895,999,log_newX9.csv,0,False,0.12,-0.7609837321763079,0.9905096816734504,0.06155525630661726,-0.00022639999999999987,-0.0003322999999999989,0.0024660000000000792,-0.001690999999999887,-0.0007730000000000098,-0.0013270000000000087,0.00039097700000000003,-0.00012039299999999989,0.0039357,-0.0007389000000000007,-0.0010095999999999994,0.0003936000000000009,0.09618021937333765,-0.026561358648720557,0.005866623371367785,0.0034052840416037844,0.002540480028662362,-0.0015144626423623242,-0.003807526552646198,0.000866355668433974,0.002540480028662362,-0.003807526552646198,2,Foot-flat,1.0
