Starting real-time gait reader (100Hz) WITH KALMAN.
Press any key to stop.
[OK] MPU6050 initialized on /dev/i2c-1 (0x68)
ax:0.186035 ay:0.946045 az:-0.482666 gx:0.29771 gy:-0.671756 gz:0.656489 | Class: -1 | Delay: 3.27458 ms
 R_K:22.8159 P_K:-2.14114 | Dly: 3.27093msax:0.177246 ay:0.922607 az:-0.480957 gx:0.0763359 gy:-0.946565 gz:0.694656 | Class: 1 | Delay: 3.26243 ms
 R_K:24.2298 P_K:-2.26584 | Dly: 3.26243msax:0.175293 ay:0.926025 az:-0.480225 gx:-0.0763359 gy:-0.877863 gz:0.610687 | Class: 1 | Delay: 3.2733 ms
 R_K:25.6708 P_K:-2.39007 | Dly: 3.2733msax:0.175537 ay:0.924072 az:-0.486816 gx:-0.00763359 gy:-0.870229 gz:0.656489 | Class: 1 | Delay: 3.27514 ms
 R_K:27.1478 P_K:-2.51636 | Dly: 3.27514msax:0.169678 ay:0.922119 az:-0.486084 gx:-0.0305344 gy:-0.816794 gz:0.694656 | Class: 1 | Delay: 3.2723 ms
 R_K:28.6529 P_K:-2.63949 | Dly: 3.2723msax:0.171387 ay:0.928467 az:-0.486572 gx:-0.0610687 gy:-0.900763 gz:0.572519 | Class: 1 | Delay: 3.26864 ms
 R_K:30.182 P_K:-2.76613 | Dly: 3.26864msax:0.168701 ay:0.922852 az:-0.483643 gx:0.0152672 gy:-0.78626 gz:0.48855 | Class: 1 | Delay: 3.26825 ms
 R_K:31.7372 P_K:-2.8915 | Dly: 3.26825msax:0.171875 ay:0.923096 az:-0.474121 gx:0.0229008 gy:-0.900763 gz:0.648855 | Class: 1 | Delay: 3.27386 ms
 R_K:33.3081 P_K:-3.02333 | Dly: 3.27386msax:0.174072 ay:0.922607 az:-0.483398 gx:0.0839695 gy:-0.839695 gz:0.770992 | Class: 1 | Delay: 3.27304 ms
 R_K:34.9095 P_K:-3.15723 | Dly: 3.27304msax:0.174316 ay:0.925049 az:-0.481689 gx:0.236641 gy:-0.908397 gz:0.664122 | Class: 1 | Delay: 3.28849 ms
 R_K:36.5307 P_K:-3.29339 | Dly: 3.28849msax:0.172852 ay:0.924316 az:-0.480957 gx:0.122137 gy:-1.01527 gz:0.633588 | Class: 1 | Delay: 3.27871 ms
 R_K:38.1688 P_K:-3.43096 | Dly: 3.27871msax:0.176025 ay:0.929443 az:-0.482422 gx:0.0534351 gy:-0.832061 gz:0.610687 | Class: 1 | Delay: 3.27367 ms
 R_K:39.8214 P_K:-3.56934 | Dly: 3.27367msax:0.177246 ay:0.922363 az:-0.486572 gx:0.0534351 gy:-0.763359 gz:0.793893 | Class: 1 | Delay: 3.27095 ms
 R_K:41.496 P_K:-3.70968 | Dly: 3.27095msax:0.173828 ay:0.923584 az:-0.473877 gx:0.152672 gy:-0.961832 gz:0.549618 | Class: 1 | Delay: 3.27099 ms
 R_K:43.1729 P_K:-3.8508 | Dly: 3.27099msax:0.168457 ay:0.924805 az:-0.477295 gx:0.0763359 gy:-0.885496 gz:0.664122 | Class: 1 | Delay: 3.27116 ms
 R_K:44.8628 P_K:-3.9855 | Dly: 3.27116msax:0.182373 ay:0.923828 az:-0.484863 gx:-0.0763359 gy:-0.89313 gz:0.770992 | Class: 1 | Delay: 3.27079 ms
 R_K:46.5685 P_K:-4.13503 | Dly: 3.27079msax:0.171875 ay:0.923096 az:-0.491211 gx:0.129771 gy:-0.847328 gz:0.732824 | Class: 1 | Delay: 3.27347 ms
 R_K:48.2916 P_K:-4.27265 | Dly: 3.27347msax:0.171875 ay:0.918945 az:-0.481689 gx:0.0916031 gy:-0.824427 gz:0.580153 | Class: 1 | Delay: 3.27132 ms
 R_K:50.0134 P_K:-4.41167 | Dly: 3.27132msax:0.171387 ay:0.924561 az:-0.480713 gx:-0.0458015 gy:-0.89313 gz:0.732824 | Class: 1 | Delay: 3.26256 ms
 R_K:51.734 P_K:-4.55028 | Dly: 3.26256msax:0.180908 ay:0.92627 az:-0.484131 gx:-0.0152672 gy:-0.923664 gz:0.717557 | Class: 1 | Delay: 3.26423 ms
 R_K:53.4605 P_K:-4.69951 | Dly: 3.26423msax:0.178223 ay:0.928711 az:-0.474609 gx:-0.0916031 gy:-0.580153 gz:0.687023 | Class: 1 | Delay: 3.27586 ms
 R_K:55.1759 P_K:-4.84144 | Dly: 3.27586msax:0.173584 ay:0.929932 az:-0.47583 gx:0.0534351 gy:-1.0687 gz:0.664122 | Class: 1 | Delay: 3.27284 ms
 R_K:56.8939 P_K:-4.98376 | Dly: 3.27284msax:0.179932 ay:0.926514 az:-0.478271 gx:0 gy:-0.748092 gz:0.59542 | Class: 1 | Delay: 3.27349 ms
 R_K:58.6138 P_K:-5.12945 | Dly: 3.27349msax:0.179199 ay:0.929443 az:-0.479248 gx:0.0610687 gy:-0.870229 gz:0.694656 | Class: 1 | Delay: 3.2764 ms
 R_K:60.3304 P_K:-5.27471 | Dly: 3.2764msax:0.174561 ay:0.922119 az:-0.477051 gx:0.0534351 gy:-0.954198 gz:0.534351 | Class: 1 | Delay: 3.27147 ms
 R_K:62.0436 P_K:-5.41621 | Dly: 3.27147msax:0.170898 ay:0.92749 az:-0.484619 gx:0.0992366 gy:-0.778626 gz:0.396947 | Class: 1 | Delay: 3.27201 ms
 R_K:63.7563 P_K:-5.5482 | Dly: 3.27201msax:0.169922 ay:0.924561 az:-0.476318 gx:0.0763359 gy:-0.877863 gz:0.603053 | Class: 1 | Delay: 3.27112 ms
 R_K:65.4524 P_K:-5.68069 | Dly: 3.27112msax:0.172607 ay:0.924072 az:-0.474121 gx:0.0534351 gy:-0.816794 gz:0.51145 | Class: 1 | Delay: 3.27803 ms
 R_K:67.1363 P_K:-5.81519 | Dly: 3.27803msax:0.173828 ay:0.927002 az:-0.484863 gx:0 gy:-0.694656 gz:0.633588 | Class: 1 | Delay: 3.27503 ms
 R_K:68.82 P_K:-5.94698 | Dly: 3.27503msax:0.173584 ay:0.928467 az:-0.480713 gx:0.122137 gy:-0.839695 gz:0.603053 | Class: 1 | Delay: 3.27075 ms
 R_K:70.487 P_K:-6.07929 | Dly: 3.27075msax:0.172363 ay:0.92749 az:-0.480713 gx:0.122137 gy:-0.870229 gz:0.641221 | Class: 1 | Delay: 3.27104 ms
 R_K:72.1408 P_K:-6.20921 | Dly: 3.27104msax:0.174316 ay:0.924561 az:-0.482178 gx:0.0381679 gy:-0.961832 gz:0.80916 | Class: 1 | Delay: 3.27036 ms
 R_K:73.7825 P_K:-6.34205 | Dly: 3.27036msax:0.173584 ay:0.924072 az:-0.474609 gx:0.0305344 gy:-0.923664 gz:0.473282 | Class: 1 | Delay: 3.26949 ms
 R_K:75.3987 P_K:-6.47273 | Dly: 3.26949msax:0.175293 ay:0.929932 az:-0.482178 gx:0.175573 gy:-0.816794 gz:0.648855 | Class: 1 | Delay: 3.27041 ms
 R_K:77.0055 P_K:-6.60079 | Dly: 3.27041msax:0.175049 ay:0.926025 az:-0.482666 gx:0.0229008 gy:-0.801527 gz:0.648855 | Class: 1 | Delay: 3.27419 ms
 R_K:78.5954 P_K:-6.72742 | Dly: 3.27419msax:0.174072 ay:0.922607 az:-0.476074 gx:-0.0305344 gy:-0.870229 gz:0.572519 | Class: 1 | Delay: 3.27071 ms
 R_K:80.1592 P_K:-6.8533 | Dly: 3.27071msax:0.175049 ay:0.921143 az:-0.477051 gx:0 gy:-1.0687 gz:0.564885 | Class: 1 | Delay: 3.27054 ms
 R_K:81.7054 P_K:-6.98158 | Dly: 3.27054msax:0.174561 ay:0.923828 az:-0.470459 gx:-0.0687023 gy:-0.908397 gz:0.541985 | Class: 1 | Delay: 3.26906 ms
 R_K:83.219 P_K:-7.10524 | Dly: 3.26906msax:0.172852 ay:0.921631 az:-0.483398 gx:0.0305344 gy:-0.877863 gz:0.671756 | Class: 1 | Delay: 3.27177 ms
 R_K:84.7313 P_K:-7.22298 | Dly: 3.27177msax:0.176514 ay:0.926025 az:-0.481201 gx:-0.0381679 gy:-0.946565 gz:0.625954 | Class: 1 | Delay: 3.27295 ms
 R_K:86.214 P_K:-7.34443 | Dly: 3.27295msax:0.176025 ay:0.928955 az:-0.486328 gx:0.167939 gy:-0.732824 gz:0.603053 | Class: 1 | Delay: 3.2683 ms
 R_K:87.681 P_K:-7.45901 | Dly: 3.2683msax:0.170166 ay:0.920654 az:-0.473145 gx:0.0687023 gy:-0.694656 gz:0.503817 | Class: 1 | Delay: 3.27877 ms
 R_K:89.1099 P_K:-7.56544 | Dly: 3.27877msax:0.176025 ay:0.920898 az:-0.476562 gx:-0.0458015 gy:-0.671756 gz:0.755725 | Class: 1 | Delay: 3.26979 ms
 R_K:90.518 P_K:-7.67828 | Dly: 3.26979msax:0.179443 ay:0.925293 az:-0.476318 gx:0.0992366 gy:-1.14504 gz:0.450382 | Class: 1 | Delay: 3.26947 ms
