timestamp,ax,ay,az,gx,gy,gz,roll,pitch_k,acc_norm,gyro_norm,delay_ms,arquivo_id,arquivo_nome,Fase,tem_rotulo_real,tempo_s,d_ax,dd_ax,d_ay,dd_ay,d_az,dd_az,d_gx,dd_gx,d_gy,dd_gy,d_gz,dd_gz,d_roll,dd_roll,d_pitch_k,dd_pitch_k,d_acc_norm,dd_acc_norm,d_gyro_norm,dd_gyro_norm,jerk_acc,jerk_gyro,classe_prevista,classe_prevista_nome,confianca_prevista
1777415143532,0.337158,0.531006,-0.898926,3.00763,-25.3969,28.3817,135.96707488345245,-16.28466632987242,1.097137567707897,38.20430947834157,3.568,999,log_v5_3_runtime.csv,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Swing,1.0
1777415143546,0.356,0.505,-0.864,1.183,-3.153,-2.397,142.86443295148524,-17.94145023942281,1.062194426647024,4.133582828491526,3.536,999,log_v5_3_runtime.csv,0,False,0.014,0.01884199999999997,0.01884199999999997,-0.026005999999999974,-0.026005999999999974,0.03492600000000001,0.03492600000000001,-1.8246299999999998,-1.8246299999999998,22.2439,22.2439,-30.778699999999997,-30.778699999999997,6.897358068032787,6.897358068032787,-1.6567839095503913,-1.6567839095503913,-0.03494314106087293,-0.03494314106087293,-34.070726649850045,-34.070726649850045,-0.03494314106087293,-34.070726649850045,5,Swing,1.0
1777415143559,0.423,0.472,-0.866,-2.802,-3.397,-0.557,146.07651753721552,-19.92365867684809,1.0731584226012485,4.438587838490976,3.256,999,log_v5_3_runtime.csv,0,False,0.027,0.067,0.048158000000000034,-0.03300000000000003,-0.006994000000000056,-0.0020000000000000018,-0.036926000000000014,-3.9850000000000003,-2.1603700000000003,-0.24399999999999977,-22.4879,1.8399999999999999,32.6187,3.212084585730281,-3.685273482302506,-1.9822084374252782,-0.32542452787488685,0.010963995954224481,0.04590713701509741,0.30500500999945057,34.37573165984949,0.010963995954224481,0.30500500999945057,5,Swing,1.0
1777415143573,0.406,0.541,-0.913,1.099,1.084,2.168,147.13247495304822,-20.249872446683998,1.1362596534243394,2.6614058315108577,3.259,999,log_v5_3_runtime.csv,0,False,0.041,-0.01699999999999996,-0.08399999999999996,0.06900000000000006,0.10200000000000009,-0.04700000000000004,-0.04500000000000004,3.901,7.886,4.481,4.725,2.725,0.8850000000000002,1.0559574158326939,-2.1561271698975872,-0.3262137698359098,1.6559946675893684,0.06310123082309094,0.052137234868866456,-1.7771820069801185,-2.082187016979569,0.06310123082309094,-1.7771820069801185,5,Swing,1.0
1777415143586,0.349,0.497,-0.871,0.733,0.733,1.176,148.07042456396334,-19.934742140177143,1.0618149556302172,1.567658763889642,3.259,999,log_v5_3_runtime.csv,0,False,0.054,-0.05700000000000005,-0.04000000000000009,-0.04400000000000004,-0.1130000000000001,0.04200000000000004,0.08900000000000008,-0.366,-4.2669999999999995,-0.3510000000000001,-4.832,-0.9920000000000002,-3.7170000000000005,0.9379496109151262,-0.11800780491756768,0.31513030650685536,0.6413440763427651,-0.07444469779412222,-0.13754592861721315,-1.0937470676212158,0.6834349393589028,-0.07444469779412222,-1.0937470676212158,5,Swing,1.0
1777415143599,0.395,0.551,-0.921,-0.176,-2.382,-0.244,148.36570620893914,-20.011792494616884,1.1436201292387258,2.400923988800978,3.248,999,log_v5_3_runtime.csv,0,False,0.067,0.04600000000000004,0.10300000000000009,0.05400000000000005,0.09800000000000009,-0.050000000000000044,-0.09200000000000008,-0.909,-0.543,-3.115,-2.7640000000000002,-1.42,-0.4279999999999997,0.2952816449758018,-0.6426679659393244,-0.0770503544397414,-0.39218066094659676,0.08180517360850859,0.1562498714026308,0.8332652249113361,1.927012292532552,0.08180517360850859,0.8332652249113361,5,Swing,1.0
1777415143613,0.367,0.532,-0.899,0.061,-0.489,0.985,148.64841349145462,-19.83023309365502,1.1072100071802098,1.1013932086226064,3.25,999,log_v5_3_runtime.csv,0,False,0.081,-0.028000000000000025,-0.07400000000000007,-0.019000000000000017,-0.07300000000000006,0.02200000000000002,0.07200000000000006,0.237,1.146,1.8930000000000002,5.008000000000001,1.229,2.649,0.2827072825154744,-0.012574362460327393,0.18155940096186285,0.25860975540160425,-0.036410122058516015,-0.1182152956670246,-1.2995307801783718,-2.132796005089708,-0.036410122058516015,-1.2995307801783718,5,Swing,1.0
1777415143626,0.359,0.527,-0.894,-0.107,-1.26,0.588,148.8766774362427,-19.62523293203757,1.0981101948347443,1.39455835302794,3.25,999,log_v5_3_runtime.csv,0,False,0.094,-0.008000000000000007,0.020000000000000018,-0.0050000000000000044,0.014000000000000012,0.0050000000000000044,-0.017000000000000015,-0.16799999999999998,-0.40499999999999997,-0.771,-2.664,-0.397,-1.6260000000000001,0.22826394478806833,-0.05444333772740606,0.20500016161745194,0.023440760655589088,-0.00909981234546553,0.027310309713050485,0.2931651444053336,1.5926959245837053,-0.00909981234546553,0.2931651444053336,5,Swing,1.0
1777415143641,0.363,0.527,-0.891,-0.229,-0.649,0.855,149.0183143375143,-19.543174626920194,1.0969863262593569,1.0975732321808873,5.035,999,log_v5_3_runtime.csv,0,False,0.109,0.0040000000000000036,0.01200000000000001,0.0,0.0050000000000000044,0.0030000000000000027,-0.0020000000000000018,-0.12200000000000001,0.04599999999999997,0.611,1.3820000000000001,0.267,0.664,0.14163690127162454,-0.08662704351644379,0.08205830511737489,-0.12294185650007705,-0.0011238685753873767,0.007975943770078153,-0.29698512084705264,-0.5901502652523862,-0.0011238685753873767,-0.29698512084705264,5,Swing,1.0
1777415143655,0.37,0.523,-0.888,0.176,-0.748,0.595,149.14991309772918,-19.599116082293804,1.094976255450318,0.9718564708844614,3.245,999,log_v5_3_runtime.csv,0,False,0.123,0.007000000000000006,0.0030000000000000027,-0.0040000000000000036,-0.0040000000000000036,0.0030000000000000027,0.0,0.405,0.527,-0.09899999999999998,-0.71,-0.26,-0.527,0.13159876021487094,-0.010038141056753602,-0.05594145537360973,-0.1379997604909846,-0.002010070809038922,-0.0008862022336515452,-0.12571676129642595,0.1712683595506267,-0.002010070809038922,-0.12571676129642595,5,Swing,1.0
