time,ax,ay,az,gx,gy,gz
1746730007.6078534,-0.13,-9.93,-10.21,-0.01,0.02,0.02
1746730007.6161325,-0.17,-9.92,-10.13,0.0,0.03,0.03
1746730007.6245792,-0.1,-9.92,-10.07,-0.0,0.04,0.05
1746730007.6329477,-0.37,-9.96,-10.15,-0.01,0.04,0.06
1746730007.6743872,-0.28,-9.77,-10.4,-0.01,0.03,0.04
1746730007.6743872,-0.34,-9.81,-10.3,-0.01,0.02,0.01
1746730007.6743872,-0.23,-9.79,-10.32,0.0,0.02,0.0
1746730007.6743872,-0.59,-9.42,-9.53,-0.0,0.05,0.04
1746730007.6823905,-0.34,-9.74,-10.3,-0.0,0.02,0.0
1746730007.6907732,-0.27,-9.95,-10.26,0.01,0.01,0.01
1746730007.7074213,-0.31,-9.84,-10.25,0.01,0.02,0.01
1746730007.7156415,-0.39,-9.95,-10.35,0.01,0.0,0.01
1746730007.7240608,-0.41,-9.96,-10.51,-0.01,-0.02,0.02
1746730007.732087,-1.27,-11.48,-10.44,-0.01,0.03,0.11
1746730007.7654145,0.94,-9.87,-14.32,0.52,-0.2,0.19
1746730007.7654145,-0.26,-10.45,-10.59,0.81,-0.01,0.22
1746730007.7654145,-0.3,-10.69,-9.89,0.36,-0.08,0.26
1746730007.7737412,-0.61,-9.52,-9.61,0.05,-0.28,0.12
1746730007.7817595,-0.18,-9.78,-9.01,0.14,-0.13,0.06
1746730007.7985198,0.02,-10.06,-9.48,0.09,-0.09,0.11
1746730007.8072536,-0.4,-9.84,-9.37,-0.02,-0.04,0.12
1746730007.8155673,-0.48,-9.76,-9.89,-0.1,-0.0,0.05
1746730007.8232276,-0.21,-9.7,-10.24,-0.04,0.02,0.05
1746730007.8318794,-0.33,-9.78,-10.19,0.05,0.04,0.06
1746730007.8737402,-0.37,-10.0,-10.1,0.06,0.04,0.06
1746730007.8760695,-0.54,-10.04,-10.0,0.03,0.02,0.1
1746730007.8760695,-0.37,-9.81,-9.73,-0.0,0.02,0.1
1746730007.8798583,-0.59,-9.81,-9.86,-0.05,0.03,0.1
1746730007.888455,-0.74,-9.81,-10.1,-0.08,0.03,0.09
1746730007.8967159,-0.61,-9.7,-9.67,-0.04,0.07,0.1
1746730007.9050603,-0.71,-9.92,-10.24,-0.03,0.03,0.1
1746730007.9145155,-0.95,-9.88,-10.0,-0.01,0.03,0.08
1746730007.921621,-0.83,-9.82,-9.93,-0.04,0.01,0.05
1746730007.9383957,-0.86,-9.96,-10.2,-0.02,0.0,0.05
1746730007.9717548,-0.47,-10.21,-9.92,-0.03,-0.0,0.02
1746730007.9717548,-0.51,-10.25,-10.0,-0.05,0.0,0.03
1746730007.9717548,-0.28,-10.39,-9.88,-0.04,0.01,0.06
1746730007.9717548,-0.33,-10.14,-9.76,-0.13,0.02,0.1
1746730007.9883811,-0.68,-9.79,-10.25,-0.2,0.02,0.09
1746730007.9966507,-0.67,-9.51,-10.7,-0.11,0.02,0.07
1746730008.0050275,-0.63,-9.62,-10.36,0.04,0.01,0.06
1746730008.0135398,-0.67,-9.93,-9.82,0.01,0.02,0.03
1746730008.0216138,-0.7,-9.84,-10.11,-0.09,0.02,-0.01
1746730008.0384393,-0.71,-9.53,-10.42,-0.07,0.02,-0.05
1746730008.063193,-0.61,-9.66,-10.59,0.05,0.0,-0.07
1746730008.063193,-0.42,-9.8,-10.13,0.07,0.02,-0.06
1746730008.063193,-0.68,-9.84,-10.46,0.0,0.01,-0.06
1746730008.0711994,-0.66,-9.46,-10.69,0.09,-0.01,-0.07
1746730008.0879688,-0.82,-9.32,-10.6,0.12,-0.04,-0.08
1746730008.0964532,-0.89,-9.47,-10.69,0.19,-0.07,-0.11
1746730008.104776,-0.66,-9.23,-10.64,0.19,-0.1,-0.16
1746730008.1132493,-0.76,-9.58,-10.35,0.11,-0.1,-0.18
1746730008.1213946,0.05,-9.16,-10.51,0.25,0.02,-0.14
1746730008.138353,-0.71,-10.05,-10.2,0.34,-0.06,-0.09
1746730008.1797962,-0.42,-9.8,-9.98,0.36,-0.04,-0.11
1746730008.1797962,-0.34,-10.25,-9.8,0.34,-0.0,-0.08
1746730008.1797962,-0.5,-10.07,-10.25,0.26,0.05,-0.02
1746730008.1797962,-0.36,-9.71,-10.54,0.33,0.05,-0.03
1746730008.1881886,-0.48,-10.13,-10.26,0.51,0.02,-0.12
1746730008.1965392,-0.52,-10.31,-9.84,0.42,0.02,-0.1
1746730008.2049005,-0.84,-10.14,-10.05,0.35,0.03,-0.12
1746730008.2132814,-1.51,-10.04,-10.28,0.43,0.06,-0.1
1746730008.221379,-1.28,-9.19,-11.3,0.7,0.07,-0.14
1746730008.2378833,-1.4,-10.07,-9.64,0.93,-0.01,-0.25
1746730008.2625446,-1.27,-10.55,-9.56,0.79,0.05,-0.26
1746730008.270751,-1.23,-9.97,-10.37,0.71,0.05,-0.26
1746730008.270751,-0.32,-10.7,-12.01,0.87,-0.06,-0.32
1746730008.279084,-0.04,-11.52,-11.95,0.96,-0.16,-0.25
1746730008.287498,-1.88,-10.54,-11.3,1.2,-0.21,-0.36
1746730008.2959316,-1.32,-11.29,-11.1,1.4,-0.21,-0.59
1746730008.304368,-0.99,-11.65,-11.09,1.44,-0.2,-0.75
1746730008.3125098,-1.3,-10.82,-11.49,1.53,-0.24,-0.86
1746730008.3289502,-1.47,-11.75,-11.18,1.72,-0.31,-0.97
1746730008.3375862,-0.3,-12.08,-11.42,1.95,-0.29,-1.07
1746730008.379378,0.53,-12.79,-10.91,2.07,-0.3,-1.02
1746730008.379378,-0.17,-12.48,-11.81,2.21,-0.3,-0.93
1746730008.379378,-0.16,-13.02,-12.84,2.69,-0.27,-0.94
1746730008.387621,-1.73,-12.79,-12.75,3.19,-0.42,-0.91
1746730008.387621,-3.1,-12.63,-14.13,3.77,-0.54,-1.02
1746730008.3961062,-2.76,-12.27,-14.76,4.37,-0.84,-1.28
1746730008.4045255,-3.62,-13.55,-14.33,4.37,-1.16,-1.54
1746730008.4128993,-4.2,-13.51,-14.29,4.37,-1.62,-1.67
1746730008.4209938,-4.85,-13.76,-9.72,4.37,-1.82,-1.84
1746730008.4377198,-3.92,-14.67,-3.79,4.37,-1.37,-1.95
1746730008.4705052,-3.39,-13.96,-6.4,4.37,-1.46,-1.37
1746730008.4708295,-5.43,-18.84,5.06,4.37,-1.89,-1.6
1746730008.4708295,-9.12,-17.76,6.25,4.37,-1.58,-1.66
1746730008.4708295,-8.56,-14.43,-0.16,3.43,-1.03,-2.09
1746730008.4877188,-8.85,-10.72,-5.71,1.7,-0.6,-2.54
1746730008.4962149,-9.2,-2.63,-9.98,0.38,-0.39,-3.63
1746730008.5046809,4.72,-19.61,-17.54,0.96,-1.49,-3.74
1746730008.513172,3.12,-19.61,-0.94,-1.6,-1.42,-1.97
1746730008.5213196,-1.94,-12.34,-7.52,-4.35,0.54,-0.41
1746730008.5385294,-4.29,-4.88,-19.27,-4.37,0.51,0.27
1746730008.5876982,-4.91,-0.5,-18.36,-4.37,0.49,-0.45
1746730008.5876982,-3.19,-0.91,-17.39,-4.37,0.42,-0.68
1746730008.5959082,-1.77,-1.68,-17.53,-4.37,0.46,-0.63
1746730008.5959082,-1.19,-3.23,-16.88,-3.53,0.51,-0.35
1746730008.5959082,-0.96,-4.83,-15.12,-2.09,0.74,0.31
1746730008.5959082,-1.24,-4.17,-14.41,-0.42,1.16,1.07
1746730008.6043541,-2.2,-3.11,-14.33,1.25,1.34,1.21
1746730008.6123848,-1.29,-10.29,-13.6,2.06,1.39,1.29
1746730008.6206503,-10.29,-13.22,-10.93,-4.37,1.39,4.37
1746730008.637193,4.71,-8.72,-3.73,-1.49,1.87,2.88
1746730008.653755,0.09,-8.54,-5.27,-3.27,2.33,1.64
1746730008.6617897,0.66,-11.59,-8.48,-4.37,2.51,1.28
1746730008.6617897,0.34,-7.49,-9.37,-4.37,2.51,1.31
1746730008.6782043,0.14,-8.49,-10.69,-4.37,2.28,1.72
1746730008.6864438,-0.31,-8.2,-10.91,-3.59,2.23,2.03
1746730008.6948102,-0.36,-10.23,-9.2,-3.32,2.1,2.21
1746730008.703096,-1.43,-10.89,-8.88,-3.37,1.95,2.11
1746730008.7111003,-1.12,-12.27,-8.43,-3.55,1.82,1.91
1746730008.7275653,-0.64,-13.8,-8.69,-3.56,1.64,1.89
1746730008.7358894,-0.56,-14.93,-8.4,-3.39,1.51,1.98
1746730008.752123,-0.89,-16.24,-8.5,-3.1,1.33,2.16
1746730008.7604253,-1.39,-16.7,-7.38,-2.81,1.25,2.18
1746730008.7604253,0.96,-16.77,-6.5,-2.66,1.27,2.05
1746730008.7771266,2.75,-16.62,-5.43,-2.82,0.85,2.22
1746730008.7854097,3.79,-19.61,-1.61,-2.52,0.32,3.11
1746730008.7937198,5.25,-17.12,1.39,-1.66,1.23,3.1
1746730008.801758,0.77,-19.61,7.58,-1.59,1.0,3.53
1746730008.8180213,-0.47,4.5,9.8,-1.47,3.22,2.71
1746730008.8264148,0.73,-4.08,-2.01,-1.54,1.92,1.92
1746730008.8347604,8.66,-3.15,1.63,-0.78,0.08,-0.78
1746730008.85951,0.8,-6.63,9.8,4.0,1.01,1.14
1746730008.8955982,9.76,5.3,9.8,4.37,-0.43,-0.24
1746730008.8988695,12.28,4.62,9.8,4.37,-1.99,-0.18
1746730008.8988695,14.03,3.67,9.8,3.99,-1.53,-0.32
1746730008.8988695,11.48,-1.47,9.8,0.53,-0.26,-1.08
1746730008.8988695,2.89,-19.61,0.2,-2.61,0.37,-1.35
1746730008.9071844,-1.7,-13.56,2.69,-0.93,1.24,-1.83
1746730008.9154084,-11.79,-9.0,9.8,3.78,-1.33,2.62
1746730008.923868,-1.85,-19.61,-2.96,3.67,1.27,0.71
1746730008.931884,-2.61,-8.27,-2.34,-0.1,0.19,-1.49
1746730008.9737585,-2.69,-13.8,3.61,-2.02,0.79,-2.19
1746730008.9737585,0.56,-10.33,-6.48,-4.11,1.11,-2.47
1746730008.9737585,-1.66,-7.59,-5.75,-2.05,1.54,-2.55
1746730008.981793,-0.13,-3.19,-11.28,-2.52,0.54,-2.73
1746730008.981793,0.31,-5.89,-13.96,-2.08,0.06,-2.42
1746730008.9983137,1.34,-10.17,-11.4,-0.05,-0.12,-2.19
1746730009.0066001,2.32,-11.85,-10.71,-0.04,-0.57,-1.27
1746730009.0148776,-0.39,-12.29,-9.3,0.09,-0.63,-0.34
1746730009.0261898,-1.14,-11.49,-9.12,0.44,-0.31,0.11
1746730009.0339186,-1.43,-10.52,-8.11,0.56,-0.24,0.24
1746730009.07506,-1.91,-9.17,-7.98,0.57,0.01,0.24
1746730009.07506,-2.14,-9.11,-9.07,0.35,0.15,0.15
1746730009.07506,-2.04,-8.7,-9.05,0.26,0.13,-0.1
1746730009.07506,-1.65,-10.25,-9.01,0.19,0.06,-0.15
1746730009.0835583,-0.9,-9.51,-9.69,0.07,0.02,-0.21
1746730009.09107,-1.14,-8.78,-10.21,-0.18,-0.07,-0.35
1746730009.1079946,-0.29,-8.83,-11.25,-0.26,-0.5,-0.62
1746730009.1163368,-0.92,-9.68,-9.12,-0.27,-0.68,-0.76
1746730009.1261497,-0.63,-11.0,-8.44,-0.36,-0.7,-0.67
1746730009.1356502,-1.46,-10.43,-8.39,-0.53,-0.65,-0.55
1746730009.1910126,-1.46,-10.16,-9.22,-0.68,-0.74,-0.47
1746730009.1910126,-1.16,-9.76,-9.79,-0.33,-1.58,-0.28
1746730009.1910126,-1.56,-9.46,-9.39,-0.54,-0.82,-0.32
1746730009.1992164,-0.79,-8.51,-11.34,-0.0,-0.18,-0.28
1746730009.1992164,-1.42,-8.44,-14.98,-0.84,-0.94,-0.27
1746730009.1992164,2.45,3.25,-16.71,-2.79,-1.62,-2.47
1746730009.2093976,0.14,-10.17,-15.55,0.2,-1.68,0.18
1746730009.243712,-1.28,-12.63,-7.58,1.17,-1.15,0.66
1746730009.2469473,0.62,-12.84,-8.15,1.17,-0.63,0.59
1746730009.2469473,-2.37,-9.87,-7.19,0.97,-0.42,0.14
1746730009.2715392,-0.14,-12.56,-6.06,0.6,0.18,-0.3
1746730009.279743,-1.21,-10.59,-7.62,0.06,0.23,-0.46
1746730009.279743,-0.99,-9.66,-10.25,0.05,0.42,-0.56
1746730009.279743,0.23,-9.02,-10.58,0.05,0.13,-0.45
1746730009.288194,0.51,-8.77,-10.68,0.47,-0.02,-0.28
1746730009.2965736,-1.07,-9.03,-11.04,0.72,-0.33,0.05
1746730009.3050218,-0.23,-9.39,-11.43,1.15,-0.39,-0.05
1746730009.3135197,-1.02,-10.52,-9.4,1.16,-0.52,-0.0
1746730009.3216665,-0.81,-9.75,-8.57,0.89,-0.48,0.06
1746730009.3383873,-1.49,-10.23,-8.37,0.99,-0.28,-0.27
1746730009.3793006,-1.71,-10.36,-8.82,1.15,0.02,-0.58
1746730009.3793006,-0.99,-10.65,-10.0,1.09,-0.2,-0.68
1746730009.3793006,-1.0,-10.47,-9.74,1.11,-0.25,-0.73
1746730009.3793006,0.34,-10.75,-9.99,1.25,-0.3,-0.7
1746730009.3875034,0.74,-10.61,-9.78,1.53,-0.32,-0.62
1746730009.3960488,1.5,-10.95,-9.7,1.76,-0.38,-0.46
1746730009.4061348,1.85,-11.52,-9.76,1.94,-0.44,-0.26
1746730009.4138515,1.17,-12.0,-9.21,2.15,-0.33,-0.12
