experiment,accuracy,precision,recall,f1_score,RAE,RSE,R2,training_time_s,epochs
layers_256-128-64-32_s1,0.7455409707383018,0.8017484754511154,0.7455409707383018,0.7576833392341704,0.5039845235349952,0.9191812090125367,0.08081879098746336,76.82675504684448,34
layers_128-64-32_s1,0.7072958004448127,0.7813118009593046,0.7072958004448127,0.7234470116672557,0.5649736563912333,1.0071387421299522,-0.007138742129952247,81.69003534317017,43
layers_64-32_s1,0.6687017574462518,0.7521872065903104,0.6687017574462518,0.6862753320070597,0.6650523493020489,1.2117274644023497,-0.21172746440234969,57.8834273815155,32
