experiment,accuracy,precision,recall,f1_score,RAE,RSE,R2,training_time_s,epochs
layers_256-128-64-32_s1,0.7455,0.8017,0.7455,0.7577,0.504,0.9192,0.0808,76.8268,34
layers_128-64-32_s1,0.7073,0.7813,0.7073,0.7234,0.565,1.0071,-0.0071,81.69,43
layers_64-32_s1,0.6687,0.7522,0.6687,0.6863,0.6651,1.2117,-0.2117,57.8834,32
