timestamp,ax,ay,az,gx,gy,gz,roll,pitch,delay_ms,classe_prevista
1777327335993,0.0535355,0.775419,-0.0982423,0.000293667,-0.00681308,0.00745915,0,0,3.27924,-1
1777327336006,0.0597844,0.875443,-0.111928,-0.000998966,-0.00740367,0.0101639,0,0,3.26645,-1
1777327336020,0.0629974,0.915989,-0.116886,-0.00122992,-0.0076835,0.0114884,0,0,3.27956,-1
1777327336033,0.0661037,0.938387,-0.119663,-0.00151588,-0.00756375,0.0125053,0,0,3.27778,-1
1777327336046,0.0702137,0.950748,-0.122483,-0.00165054,-0.00803387,0.012287,0,0,3.26996,-1
1777327336060,0.0721528,0.959631,-0.123657,-0.00165528,-0.00823123,0.0119619,0,0,3.28107,-1
1777327336073,0.0719589,0.966541,-0.123605,-0.00186674,-0.00840827,0.011582,0,0,3.26857,-1
1777327336087,0.0731854,0.97226,-0.124564,-0.00156925,-0.00852404,0.0105492,0,0,3.27389,-1
1777327336100,0.073362,0.976414,-0.12402,-0.00135168,-0.00866876,0.00908562,0,0,3.52783,-1
1777327336114,0.0734794,0.97992,-0.123343,-0.00114237,-0.00857464,0.00727791,0,0,3.24513,-1
1777327336127,0.0733349,0.981813,-0.123023,-0.00109725,-0.00850408,0.00563384,0,0,3.24796,-1
1777327336140,0.0733717,0.984455,-0.122867,-0.00109459,-0.00879201,0.00423803,0,0,3.24628,-1
1777327336154,0.0729959,0.986656,-0.123118,-0.00083765,-0.00884445,0.00313545,0,0,3.25528,-1
1777327336167,0.0729146,0.98828,-0.123479,-0.000703938,-0.0089027,0.00245281,0,0,3.24756,-1
1777327336180,0.072453,0.989646,-0.123601,-0.000720886,-0.00901479,0.0020128,0,0,3.24587,-1
1777327336194,0.0725699,0.991136,-0.124121,-0.000753481,-0.00928408,0.00162348,0,0,3.24754,-1
1777327336207,0.072493,0.99212,-0.124712,-0.000958201,-0.00955254,0.00148031,0,0,3.2573,-1
1777327336220,0.0721427,0.993039,-0.124821,-0.00116945,-0.00988146,0.0012309,0,0,3.25363,-1
1777327336234,0.0721855,0.993817,-0.124919,-0.00138694,-0.0102533,0.000978951,0,0,3.25489,-1
1777327336247,0.0724914,0.994657,-0.125158,-0.00162087,-0.0106743,0.000880726,0,0,3.25126,-1
1777327336260,0.0721497,0.995243,-0.125605,-0.00184947,-0.0110735,0.000801386,0,0,3.25685,-1
1777327336274,0.0718369,0.995683,-0.125789,-0.00215388,-0.0113737,0.00085399,0,0,3.26304,-1
1777327336287,0.0715968,0.996245,-0.126211,-0.00247287,-0.0117184,0.000926928,0,0,3.25133,-1
1777327336300,0.0714222,0.997352,-0.125793,-0.00292681,-0.0121039,0.0012075,0,0,3.31594,-1
1777327336314,0.0708783,0.998115,-0.126018,-0.00334139,-0.01246,0.00146671,0,0,3.252,-1
1777327336327,0.0709944,0.998216,-0.126258,-0.0037584,-0.0126858,0.00184855,0,0,3.24918,-1
1777327336340,0.0704741,0.999088,-0.126166,-0.00399577,-0.0128065,0.00229642,0,0,3.25211,-1
1777327336354,0.0709383,0.999366,-0.126302,-0.00422573,-0.0130021,0.00255539,0,0,3.25046,-1
1777327336367,0.0706363,1.00012,-0.126488,-0.00431593,-0.0131062,0.00279657,0,0,3.25769,-1
1777327336381,0.0704567,1.00013,-0.126487,-0.00445018,-0.0131031,0.00315823,0,0,3.61748,0
1777327336394,0.070202,1.00027,-0.126616,-0.00464346,-0.0129055,0.00359557,0,0,3.46859,0
1777327336408,0.0703812,1.00114,-0.126578,-0.00482868,-0.0126173,0.00413947,0,0,3.4943,0
1777327336421,0.0705918,1.00116,-0.1265,-0.00503337,-0.0123878,0.00457697,0,0,3.44956,0
1777327336435,0.0702764,1.00118,-0.126484,-0.00527412,-0.012155,0.0049156,0,0,3.49531,0
1777327336449,0.0701084,1.00152,-0.126114,-0.00532693,-0.0120076,0.00508679,0,0,3.41578,0
1777327336462,0.0701202,1.0022,-0.126275,-0.00537648,-0.0118959,0.00520324,0,0,3.56733,0
1777327336476,0.0699623,1.00266,-0.126596,-0.00531735,-0.0115972,0.00545346,0,0,3.44667,0
1777327336489,0.070179,1.00311,-0.126181,-0.00534958,-0.0115098,0.00578071,0,0,3.53483,0
1777327336503,0.0697806,1.00361,-0.12638,-0.00532296,-0.0113269,0.00618461,0,0,3.48893,0
1777327336517,0.069839,1.00411,-0.125854,-0.00531977,-0.0110807,0.00665614,0,0,3.44865,0
1777327336530,0.0699218,1.00432,-0.125471,-0.00529934,-0.0109014,0.00693852,0,0,3.3742,0
1777327336544,0.069944,1.00426,-0.125166,-0.00535405,-0.0108152,0.00720862,0,0,3.34415,0
1777327336557,0.0697706,1.00421,-0.124865,-0.00547067,-0.0105735,0.00745856,0,0,3.3768,0
1777327336570,0.0695657,1.0045,-0.124803,-0.0055675,-0.0104065,0.00775462,0,0,3.35968,5
1777327336584,0.0699265,1.0048,-0.125036,-0.00558943,-0.0102363,0.0080638,0,0,3.45737,5
1777327336598,0.0699207,1.00493,-0.124702,-0.00566198,-0.0100975,0.00832482,0,0,3.42535,5
1777327336611,0.0701224,1.00509,-0.124815,-0.00593337,-0.00992783,0.00864855,0,0,3.50952,5
1777327336625,0.0706577,1.00522,-0.124426,-0.00615894,-0.00982834,0.00902271,0,0,3.41231,5
1777327336638,0.0707071,1.00531,-0.124444,-0.00655268,-0.00965694,0.00922019,0,0,3.41017,5
1777327336652,0.0712222,1.00491,-0.124379,-0.00706177,-0.00954274,0.00933314,0,0,3.39889,5
