timestamp,ax,ay,az,gx,gy,gz,delay_ms,classe_prevista,tempo_s,Fase,Classe_Prevista
1774389181464,0.0544127,0.978056,-0.281596,1.3987100000000002e-15,-1.3602500000000004e-14,8.887230000000004e-15,3.30204,5,0.516,2,2.0
1774389181477,0.0544705,0.978709,-0.281478,1.4147700000000001e-15,-1.33659e-14,8.61028e-15,3.32393,5,0.529,2,2.0
1774389181492,0.0541662,0.978666,-0.281771,1.4473000000000007e-15,-1.3265200000000003e-14,8.415090000000001e-15,4.22677,5,0.544,2,2.0
1774389181507,0.0539889,0.978771,-0.281468,1.55185e-15,-1.3135700000000002e-14,8.344470000000002e-15,5.12291,1,0.559,2,2.0
1774389181522,0.0541098,0.979227,-0.28148,1.61121e-15,-1.2887900000000002e-14,8.18681e-15,4.16458,5,0.574,2,2.0
1774389181535,0.0542359,0.979494,-0.28198,1.5283800000000002e-15,-1.2606899999999999e-14,8.120710000000001e-15,3.26466,1,0.587,2,2.0
1774389181548,0.0544664,0.979616,-0.282113,1.3854200000000001e-15,-1.2567299999999999e-14,7.95888e-15,3.30543,5,0.6,2,2.0
1774389181562,0.0551709,0.97993,-0.281897,1.3804500000000002e-15,-1.2478000000000003e-14,7.841000000000001e-15,3.29652,5,0.614,2,2.0
1774389181575,0.0562814,0.979196,-0.282253,1.1943500000000004e-15,-1.2376700000000004e-14,7.777430000000001e-15,3.29902,5,0.627,2,2.0
1774389181589,0.0567252,0.979637,-0.282043,1.2347100000000003e-15,-1.2345900000000005e-14,7.652780000000002e-15,3.29879,5,0.641,2,2.0
1774389181602,0.0572138,0.98056,-0.281811,1.2641400000000003e-15,-1.2282400000000001e-14,7.6517e-15,3.32907,5,0.654,2,2.0
1774389181616,0.057079,0.979977,-0.282332,1.1023200000000001e-15,-1.22268e-14,7.55589e-15,3.34526,5,0.668,2,2.0
1774389181629,0.0573318,0.979781,-0.282218,1.1650000000000002e-15,-1.2092600000000001e-14,7.599020000000002e-15,3.32196,5,0.681,2,2.0
1774389181643,0.0563546,0.980258,-0.282349,1.32739e-15,-1.1841300000000001e-14,7.652600000000001e-15,3.86732,5,0.695,2,2.0
1774389181657,0.0563131,0.981375,-0.282387,1.29131e-15,-1.1711700000000001e-14,7.47521e-15,3.30835,1,0.709,2,2.0
1774389181670,0.0565011,0.981248,-0.282738,1.1068300000000003e-15,-1.1731400000000003e-14,7.462630000000002e-15,3.27365,1,0.722,2,2.0
1774389181684,0.0566914,0.980889,-0.282715,9.843770000000002e-16,-1.1586700000000003e-14,7.442180000000001e-15,3.33804,5,0.736,2,2.0
1774389181697,0.0567433,0.981173,-0.282704,1.0106e-15,-1.1510300000000002e-14,7.470130000000004e-15,3.28515,1,0.749,2,2.0
1774389181711,0.0565875,0.981628,-0.282726,9.19405e-16,-1.1442500000000004e-14,7.38486e-15,3.41563,5,0.763,2,2.0
1774389181724,0.0562984,0.981685,-0.282898,8.033200000000003e-16,-1.1365700000000001e-14,7.30441e-15,3.29318,5,0.776,2,2.0
1774389181738,0.0566262,0.981987,-0.282912,8.868990000000002e-16,-1.13275e-14,7.301460000000002e-15,3.86562,1,0.79,2,2.0
1774389181752,0.0581353,0.980821,-0.282785,6.568640000000002e-16,-1.1291500000000003e-14,7.423090000000002e-15,3.29248,5,0.804,2,2.0
1774389181765,0.0583817,0.980805,-0.282825,8.944710000000001e-16,-1.1296200000000002e-14,7.353420000000001e-15,3.27196,5,0.817,2,2.0
1774389181778,0.0581435,0.981608,-0.283024,8.828160000000002e-16,-1.1167600000000003e-14,7.373450000000002e-15,3.32766,5,0.83,2,2.0
1774389181792,0.0580344,0.982053,-0.28315,7.174590000000002e-16,-1.1162000000000003e-14,7.34947e-15,3.28068,1,0.844,2,2.0
1774389181806,0.058016,0.981746,-0.283206,6.728779999999999e-16,-1.1113900000000003e-14,7.34828e-15,3.32705,1,0.858,2,2.0
1774389181819,0.0577944,0.982012,-0.283443,8.108420000000001e-16,-1.1227100000000004e-14,7.274290000000001e-15,3.30707,5,0.871,2,2.0
1774389181833,0.058012,0.982449,-0.283786,7.8246e-16,-1.11968e-14,7.21302e-15,3.31061,1,0.885,2,2.0
1774389181846,0.0580054,0.982501,-0.283965,7.385320000000001e-16,-1.12839e-14,7.116640000000001e-15,3.31485,1,0.898,2,2.0
1774389181860,0.0578597,0.982541,-0.284006,6.71362e-16,-1.1220400000000002e-14,6.952819999999999e-15,3.86356,1,0.912,2,2.0
1774389181874,0.0577204,0.982857,-0.284496,7.707920000000002e-16,-1.1190500000000004e-14,6.88392e-15,3.29422,1,0.926,2,2.0
1774389181887,0.0577051,0.982977,-0.284622,8.90341e-16,-1.1140800000000003e-14,6.9088600000000016e-15,3.28839,5,0.939,2,2.0
1774389181900,0.0576155,0.983157,-0.284559,8.532250000000001e-16,-1.0991100000000001e-14,6.880980000000002e-15,3.337,1,0.952,2,2.0
1774389181914,0.0573586,0.983232,-0.284586,9.08157e-16,-1.1038300000000001e-14,6.794700000000001e-15,3.3507,1,0.966,2,2.0
1774389181927,0.0570808,0.983314,-0.284546,9.2145e-16,-1.1048500000000003e-14,6.756100000000002e-15,3.29705,1,0.979,2,2.0
1774389181941,0.0571793,0.983425,-0.284669,9.25429e-16,-1.10625e-14,6.702540000000001e-15,3.30046,1,0.993,2,2.0
1774389181955,0.0572948,0.983306,-0.284659,9.677360000000002e-16,-1.10929e-14,6.651980000000001e-15,3.82787,1,1.007,2,2.0
1774389181968,0.0570735,0.98332,-0.284231,9.262860000000002e-16,-1.1078600000000003e-14,6.552860000000001e-15,3.30944,1,1.02,2,2.0
1774389181982,0.0571294,0.983377,-0.28424,9.59975e-16,-1.1013800000000001e-14,6.4764400000000016e-15,3.27942,1,1.034,2,2.0
1774389181995,0.0569155,0.983517,-0.284162,9.189630000000003e-16,-1.08799e-14,6.4771200000000014e-15,3.32772,5,1.047,2,2.0
1774389182009,0.0568927,0.983534,-0.284045,9.402120000000002e-16,-1.07791e-14,6.533440000000002e-15,3.29318,5,1.061,2,2.0
1774389182022,0.0569459,0.983399,-0.283826,8.746150000000001e-16,-1.0722600000000001e-14,6.608010000000001e-15,3.31689,1,1.074,2,2.0
1774389182036,0.056879,0.983356,-0.283767,8.81221e-16,-1.06435e-14,6.56705e-15,3.26952,1,1.088,2,2.0
1774389182049,0.0569648,0.983583,-0.283839,8.74609e-16,-1.0641599999999998e-14,6.55408e-15,3.31637,5,1.101,2,2.0
1774389182062,0.0569827,0.983404,-0.283736,8.212610000000001e-16,-1.0571400000000001e-14,6.567530000000001e-15,3.27248,1,1.114,2,2.0
1774389182076,0.0571815,0.983607,-0.283702,8.222950000000001e-16,-1.0560700000000001e-14,6.503150000000001e-15,3.7508,5,1.128,2,2.0
1774389182090,0.057083,0.98364,-0.283744,8.875060000000003e-16,-1.0537800000000002e-14,6.532300000000002e-15,3.28094,1,1.142,2,2.0
1774389182103,0.0570209,0.983598,-0.283368,8.719770000000003e-16,-1.0520500000000002e-14,6.521280000000002e-15,3.25285,1,1.155,2,2.0
1774389182117,0.0569508,0.983642,-0.283435,8.61602e-16,-1.0568400000000002e-14,6.459500000000001e-15,3.34381,1,1.169,2,2.0
