time,ax,ay,az,gx,gy,gz
1746729740.9459145,-0.7,-9.84,-9.81,-0.03,0.03,0.02
1746729740.9597054,-0.64,-9.79,-9.89,-0.01,0.01,0.03
1746729740.9717772,-0.61,-9.94,-9.9,-0.0,-0.0,0.03
1746729740.979924,-0.65,-9.86,-9.78,-0.01,0.0,0.03
1746729741.0049586,-0.68,-9.86,-9.84,-0.02,0.02,0.03
1746729741.013201,-0.63,-9.81,-9.87,-0.01,-0.01,0.04
1746729741.013201,-0.76,-9.86,-9.89,0.01,0.0,0.05
1746729741.0213435,-0.83,-9.78,-9.91,0.02,-0.04,0.04
1746729741.0295503,-0.74,-10.02,-10.02,0.02,-0.03,0.03
1746729741.0379698,-0.91,-10.32,-10.15,0.0,-0.07,0.07
1746729741.0788636,-1.25,-10.08,-10.37,0.15,0.02,0.2
1746729741.0788636,-1.03,-9.33,-11.28,0.24,-0.28,0.17
1746729741.0788636,-2.55,-9.56,-11.52,0.31,-0.45,0.15
1746729741.0788636,-2.98,-9.73,-11.99,0.36,-0.6,0.02
1746729741.111827,-2.45,-9.8,-12.79,0.58,-0.72,-0.08
1746729741.111827,-0.28,-12.87,-14.37,0.77,-1.16,-0.04
1746729741.111827,-1.59,-12.36,-11.93,0.94,-1.2,-0.1
1746729741.1201086,-3.62,-10.32,-12.37,1.16,-1.36,-0.05
1746729741.1297812,-5.07,-10.15,-11.25,1.01,-1.34,-0.24
1746729741.1367846,-4.58,-10.78,-11.88,0.69,-1.06,-0.53
1746729741.1451259,-3.56,-10.28,-13.44,0.4,-0.73,-0.71
1746729741.1613789,-2.46,-10.04,-14.95,0.22,-0.57,-0.59
1746729741.1697316,-1.76,-9.33,-15.21,0.15,-0.39,-0.41
1746729741.1782897,-1.54,-10.07,-14.49,0.1,-0.39,-0.06
1746729741.2022674,-2.82,-9.86,-13.51,-0.13,-0.21,-0.02
1746729741.203361,-3.76,-8.29,-14.43,-0.4,0.02,-0.16
1746729741.211993,-3.68,-7.21,-15.55,-0.51,0.15,-0.32
1746729741.2216334,-2.81,-7.87,-15.18,-0.48,0.11,-0.31
1746729741.2313697,-1.68,-9.06,-14.15,-0.48,0.15,-0.2
1746729741.2420993,-1.35,-9.62,-13.37,-0.48,0.26,-0.02
1746729741.251919,-2.0,-10.02,-12.54,-0.49,0.28,0.15
1746729741.261716,-1.62,-10.9,-11.52,-0.55,0.24,0.34
1746729741.267916,-1.23,-12.38,-9.78,-0.69,0.27,0.55
1746729741.2765577,-1.7,-12.62,-8.98,-0.98,0.49,0.61
1746729741.3176687,-2.14,-11.69,-9.51,-1.22,0.7,0.6
1746729741.3176687,-2.45,-10.59,-10.42,-1.28,0.82,0.6
1746729741.3176687,-2.12,-10.1,-11.2,-1.22,0.78,0.61
1746729741.3259265,-0.96,-11.08,-12.09,-0.98,0.85,0.58
1746729741.3259265,-5.29,-4.55,-2.86,-0.27,2.29,0.49
1746729741.33441,-3.89,-5.24,-8.21,0.08,0.79,0.25
1746729741.3507926,-1.1,-5.12,-10.18,0.74,0.93,-0.09
1746729741.3592918,1.64,-9.47,-9.12,1.18,0.83,-0.01
1746729741.3676832,2.65,-11.64,-9.3,1.19,0.61,0.28
1746729741.3760753,3.49,-12.04,-8.25,0.91,0.27,0.61
1746729741.4089558,1.81,-15.3,-3.02,0.74,-0.27,1.22
1746729741.4089558,3.61,-18.28,-2.79,-0.65,0.05,0.79
1746729741.4089558,-0.68,-14.3,-5.51,-1.22,1.23,0.31
1746729741.4173708,-1.32,-6.9,-10.87,-1.48,1.71,-0.16
1746729741.4258544,-2.47,-7.6,-13.74,-2.05,0.42,-0.21
1746729741.4342697,0.11,-10.83,-15.51,-0.65,-0.57,0.3
1746729741.4505968,0.61,-9.33,-13.07,-0.11,-0.37,0.57
1746729741.4591758,1.0,1.54,-8.53,-0.13,-1.17,0.85
1746729741.4676344,-1.63,-11.18,-10.29,-0.07,-0.81,0.46
1746729741.4762838,0.75,-10.06,-10.98,-0.66,-0.25,0.43
1746729741.5333757,-1.41,-9.75,-11.09,-0.64,-0.41,0.6
1746729741.5333757,-1.45,-9.44,-10.58,-0.44,-0.48,0.75
1746729741.5333757,-2.73,-9.93,-8.89,-0.37,-0.66,0.78
