t,mode,S,prom
1.365,5.0,5.0,-0.010081540630199014
1.375,5.0,5.0,-0.006260912981815636
1.385,5.0,5.0,-0.0055307236732915046
1.395,5.0,5.0,-0.004800534364767373
1.405,5.0,5.0,-0.00609530797228217
1.415,5.0,5.0,-0.00608221823349595
1.425,5.0,5.0,-0.006092235236428678
1.435,5.0,5.0,-0.0074097295990213745
1.445,5.0,5.0,-0.00786471541505307
1.455,5.0,5.0,-0.008498302171938121
1.465,5.0,5.0,-0.007727589481510222
1.475,5.0,5.0,-0.006897127139382064
1.485,5.0,5.0,-0.006394827482290566
1.495,5.0,5.0,-0.005892527825199068
1.505,5.0,5.0,-0.004655643238220364
1.515,5.0,5.0,-0.003019192314241081
1.525,5.0,5.0,-0.0030270530260168016
1.535,5.0,5.0,-0.003973273595329374
1.545,5.0,5.0,-0.004919494164641947
1.555,5.0,5.0,-0.004727303830441088
1.565,5.0,5.0,-0.005863370734732598
1.575,5.0,5.0,-0.009077245590742678
1.585,5.0,5.0,-0.010237152117770165
1.595,5.0,5.0,-0.011397058644797653
1.605,5.0,5.0,-0.011221579392440615
1.615,5.0,5.0,-0.012990470067597926
1.625,5.0,5.0,-0.013528312626294793
1.635,5.0,5.0,-0.0112523804185912
1.645,5.0,5.0,-0.008976448210887611
1.655,5.0,5.0,-0.008787378505803644
1.665,5.0,5.0,-0.009520453237928448
1.675,5.0,5.0,-0.006966498517431319
1.685,5.0,5.0,-0.006259125680662692
1.695,5.0,5.0,-0.00478988237446174
1.705,5.0,5.0,-0.0069313317188061776
1.715,5.0,5.0,-0.007453452295158058
1.725,5.0,5.0,-0.0065317326807416975
1.735,5.0,5.0,-0.007350839918944986
1.745,5.0,5.0,-0.009853243513498457
1.755,5.0,5.0,-0.013218009483534843
1.765,5.0,5.0,-0.012917794671375304
1.775,5.0,5.0,-0.012829069432336837
1.785,5.0,5.0,-0.016172181826550513
1.795,5.0,5.0,-0.020277164690196515
1.805,5.0,5.0,-0.02411216087639332
1.815,5.0,5.0,-0.02478106021881104
1.825,5.0,5.0,-0.025060075847432015
1.835,5.0,5.0,-0.026804961869493125
1.845,5.0,5.0,-0.026866551535204054
1.856,5.0,5.0,-0.024569569947198035
1.866,5.0,5.0,-0.02245341269299388
1.876,5.0,5.0,-0.023530262988060716
1.887,5.0,5.0,-0.02293172879144549
1.897,5.0,5.0,-0.02233319459483028
1.907,5.0,5.0,-0.018986165057867765
1.917,5.0,5.0,-0.01941507654264569
1.927,5.0,5.0,-0.02162748728878796
1.937,5.0,5.0,-0.018323527881875638
1.947,5.0,5.0,-0.015019568474963309
1.957,5.0,5.0,-0.009275639476254585
1.967,5.0,5.0,-0.006960491277277468
1.977,5.0,5.0,-0.0036551288329064848
1.988,5.0,5.0,0.0021173437125980854
1.998,5.0,5.0,0.007889816258102655
2.008,5.0,5.0,0.009627417102456093
2.018,5.0,5.0,0.009701043739914894
2.028,5.0,5.0,0.013000499829649926
2.038,5.0,5.0,0.012738506868481636
2.049,5.0,5.0,0.012476513907313348
2.059,5.0,5.0,0.008029345888644457
2.069,5.0,5.0,0.00843856604769826
2.079,5.0,5.0,0.00956692788749933
2.089,5.0,5.0,0.005524837411940098
2.099,5.0,5.0,0.001482746936380863
2.109,5.0,5.0,0.0008763426914811136
2.119,5.0,5.0,0.00399682349525392
2.129,5.0,5.0,0.0017702228855341674
2.139,5.0,5.0,-0.0008026728872209787
2.149,5.0,5.0,-0.0033755686599761248
2.159,5.0,5.0,-0.0019570704083889724
2.169,5.0,5.0,-0.0037229785230010744
2.179,5.0,5.0,-0.007837734511122107
2.189,5.0,5.0,-0.008177835447713732
2.199,5.0,5.0,-0.008517936384305359
2.209,5.0,5.0,-0.009053017245605588
2.219,5.0,5.0,-0.014187162369489668
2.229,5.0,5.0,-0.018631840497255324
2.239,5.0,5.0,-0.019923286139965055
2.249,5.0,5.0,-0.021214731782674794
2.26,5.0,5.0,-0.02373579675331712
2.27,5.0,5.0,-0.027647375222295524
2.28,5.0,5.0,-0.02813651030883193
2.29,5.0,5.0,-0.025373905524611474
2.3,5.0,5.0,-0.022611300740391017
2.31,5.0,5.0,-0.021049960516393185
2.32,5.0,5.0,-0.019105051457881928
2.33,5.0,5.0,-0.014687629230320454
2.34,5.0,5.0,-0.011930822720751166
2.35,5.0,5.0,-0.009893044689670205
2.36,5.0,5.0,-0.009240992227569222
2.37,5.0,5.0,-0.006757856952026488
2.38,5.0,5.0,-0.004336306476034224
2.39,5.0,5.0,-0.0048645891482010485
2.4,5.0,5.0,-0.0052677349653095
2.41,5.0,5.0,-0.004742331127636135
2.42,5.0,5.0,-0.0014018378453329206
2.43,5.0,5.0,0.0002748836763203144
2.44,5.0,5.0,-0.0004740344360470772
2.45,5.0,5.0,-0.0012911715544760226
2.46,5.0,5.0,-0.0022315882146358487
2.47,5.0,5.0,-0.0032039038836956025
2.48,5.0,5.0,-0.0039314938010647895
2.49,5.0,5.0,-0.003755078464746475
2.5,5.0,5.0,-0.003991958720143884
2.51,5.0,5.0,-0.004228838975541294
2.52,5.0,5.0,-0.005138915264979005
2.53,5.0,5.0,-0.0040913071250543
2.54,5.0,5.0,-0.0007385508390143514
2.55,5.0,5.0,0.002401181566528976
2.56,5.0,5.0,0.005221992428414523
2.57,5.0,5.0,0.00804280329030007
2.58,5.0,5.0,0.01043139153625816
2.59,5.0,5.0,0.01119864578358829
2.6,5.0,5.0,0.01221696921857074
2.61,5.0,5.0,0.015580775844864548
2.62,5.0,5.0,0.018981408048421144
2.63,5.0,5.0,0.021699582040309907
2.64,5.0,5.0,0.02256066370755434
2.65,5.0,5.0,0.02502859346568585
2.66,5.0,5.0,0.02610294446349144
2.67,5.0,5.0,0.02717729546129704
2.68,5.0,5.0,0.024504187889397143
2.69,5.0,5.0,0.023333639930933715
2.7,5.0,5.0,0.02284732749685645
2.71,5.0,5.0,0.018944861320778727
2.72,5.0,5.0,0.015042395144701005
2.73,5.0,5.0,0.010842706868425011
2.74,5.0,5.0,0.007252972369315103
2.75,5.0,5.0,0.0017049626272637396
2.76,5.0,5.0,-0.00231036368641071
2.77,5.0,5.0,-0.00632569000008516
2.78,5.0,5.0,-0.007358230015961453
2.79,5.0,5.0,-0.00940239934134297
2.8,5.0,5.0,-0.011409776302753015
2.81,5.0,5.0,-0.011042611667653546
2.82,5.0,5.0,-0.010675447032554077
2.831,5.0,5.0,-0.010900922742439432
2.841,5.0,5.0,-0.011729507241398096
2.851,5.0,5.0,-0.00940513964742422
2.861,5.0,5.0,-0.005418411828577519
2.871,5.0,5.0,-0.001431684009730816
2.881,5.0,5.0,0.0011105266399681567
2.891,5.0,5.0,0.0029835348017513757
2.901,5.0,5.0,0.004694563685916364
2.911,5.0,5.0,0.005172640015371144
2.921,5.0,5.0,0.005210774764418602
2.931,5.0,5.0,0.005383427254855633
2.941,5.0,5.0,0.0061498892726376654
2.951,5.0,5.0,0.005015569448005408
2.961,5.0,5.0,0.0011083990219049155
2.971,5.0,5.0,-0.003720880683977157
2.981,5.0,5.0,-0.00702356054680422
2.991,5.0,5.0,-0.00836605402873829
3.001,5.0,5.0,-0.009875891066621987
3.011,5.0,5.0,-0.011570373002905398
3.021,5.0,5.0,-0.01202824037754908
3.031,5.0,5.0,-0.012486107752192766
3.041,5.0,5.0,-0.013272947387304158
3.051,5.0,5.0,-0.0160242079757154
3.061,5.0,5.0,-0.018409316800534724
3.071,5.0,5.0,-0.018212033994495874
3.081,5.0,5.0,-0.018014751188457013
3.091,5.0,5.0,-0.017521874327212573
3.101,5.0,5.0,-0.018152128718793396
3.111,5.0,5.0,-0.017912983894348145
3.121,5.0,5.0,-0.01723076405469328
3.131,5.0,5.0,-0.01654854421503842
3.141,5.0,5.0,-0.016325670201331376
3.151,5.0,5.0,-0.015163787920027972
3.161,5.0,5.0,-0.012938165199011564
3.171,5.0,5.0,-0.011435806192457676
3.181,5.0,5.0,-0.009933447185903787
3.191,5.0,5.0,-0.010215940326452256
3.201,5.0,5.0,-0.010400584712624552
3.211,5.0,5.0,-0.009281941317021846
3.221,5.0,5.0,-0.008442235901020468
3.231,5.0,5.0,-0.007602530485019088
3.241,5.0,5.0,-0.006576265254989265
3.251,5.0,5.0,-0.003524370165541768
3.261,5.0,5.0,-0.0005441584158688784
3.271,5.0,5.0,0.00028564003296196463
3.281,5.0,5.0,0.0011154384817928075
3.291,5.0,5.0,0.0023519401904195545
3.301,5.0,5.0,0.003984001884236932
3.311,5.0,5.0,0.0035006542224437
3.321,5.0,5.0,0.002342933532781899
3.331,5.0,5.0,0.0011852128431200982
3.341,5.0,5.0,0.0001232774928212166
3.351,5.0,5.0,-0.0021824460476636887
3.361,5.0,5.0,-0.0048982867971062655
3.371,5.0,5.0,-0.006574415229260921
3.381,5.0,5.0,-0.007625508308410643
3.391,5.0,5.0,-0.008275398425757885
3.401,5.0,5.0,-0.008282287931069731
3.411,5.0,5.0,-0.008275720570236445
3.421,5.0,5.0,-0.008555590198375285
3.431,5.0,5.0,-0.008357307012192904
3.441,5.0,5.0,-0.00791149390861392
3.451,5.0,5.0,-0.0062060310970991845
3.461,5.0,5.0,-0.003930740198120475
3.471,5.0,5.0,-0.0020960706751793623
3.481,5.0,5.0,-0.0012097306665964423
3.491,5.0,5.0,-0.00032339065801352264
3.501,5.0,5.0,-0.000364465662278235
3.511,5.0,5.0,-0.0005673056235536933
3.521,5.0,5.0,0.0007296937284991146
3.531,5.0,5.0,0.0028841559309512378
3.541,5.0,5.0,0.005038618133403361
3.551,5.0,5.0,0.005968353035859764
3.561,5.0,5.0,0.00576670493464917
3.571,5.0,5.0,0.005289402790367603
3.581,5.0,5.0,0.004917249002028256
3.591,5.0,5.0,0.00454509521368891
3.601,5.0,5.0,0.0047544221160933375
3.611,5.0,5.0,0.005214932863600552
3.621,5.0,5.0,0.0048255576752126205
3.631,5.0,5.0,0.003992187045514584
3.641,5.0,5.0,0.0031588164158165453
3.651,5.0,5.0,0.0023075222969055178
3.661,5.0,5.0,0.0006677482277154922
3.671,5.0,5.0,-0.0009594365255907178
3.681,5.0,5.0,-0.0016565148485824465
3.691,5.0,5.0,-0.002353593171574175
3.701,5.0,5.0,-0.0035547449020668863
3.711,5.0,5.0,-0.00528765816707164
3.721,5.0,5.0,-0.005816074088215828
3.731,5.0,5.0,-0.006170410942286253
3.741,5.0,5.0,-0.007108184159733355
3.751,5.0,5.0,-0.00790662644430995
3.762,5.0,5.0,-0.007475184276700019
3.772,5.0,5.0,-0.006987300422042608
3.782,5.0,5.0,-0.006905490718781948
3.792,5.0,5.0,-0.006823681015521288
3.802,5.0,5.0,-0.005747456476092338
3.812,5.0,5.0,-0.0037410626769997174
3.822,5.0,5.0,-0.0024468499817885455
3.832,5.0,5.0,-0.0017400354729034007
3.842,5.0,5.0,-0.0004497846006415784
3.852,5.0,5.0,-0.00028080540942028166
3.862,5.0,5.0,-0.0005826037493534386
3.872,5.0,5.0,0.0004504281911067665
3.882,5.0,5.0,0.0013729194644838572
