t,k_pos,k_vel,k_acc,a_pos,a_vel,a_acc,e_pos,e_vel,e_acc,R10
31.29,-0.3781361281871796,-0.3714766800403595,-39.59240722656249,-0.26763883233070374,1.0145769119262695,0.0,0.0,0.6168429255485535,0.0,0.0
31.304,-0.4195721745491028,-0.3140832781791687,1.7757922410964966,-0.2876276671886444,0.6573795080184937,0.0,0.0,0.5305350422859192,0.0,0.0
31.317,-0.4543741047382354,-0.34182339906692505,-2.568791627883911,-0.31074967980384827,0.3363720178604126,0.0,0.0,0.4400771260261536,0.0,0.0
31.33,-0.4604958295822144,-0.4389321506023407,-1.05231773853302,-0.33720114827156067,0.046630024909973145,0.0,0.0,0.3337078988552093,0.0,0.0
31.344,-0.46012336015701294,-0.5711604952812195,-1.5675655603408811,-0.37371790409088135,-0.222371906042099,0.0,0.0,0.2427104413509369,0.0,0.0
31.358,-0.459064245223999,-0.7840637564659119,-2.745372772216797,-0.41478937864303594,-0.44922780990600586,0.0,0.0,0.18560931086540225,0.0,0.0
31.37,-0.44543620944023127,-1.063154220581055,3.9002850055694576,-0.422164648771286,-0.672107458114624,0.0,0.0,0.16540543735027313,0.0,0.0
31.384,-0.3957211971282959,-1.2078049182891846,20.009815216064453,-0.373725950717926,-0.7945782542228698,0.0,0.0,0.1849440634250641,0.0,0.0
31.397,-0.34744933247566223,-1.1073262691497805,23.370052337646484,-0.31488120555877686,-0.42317777872085566,0.0,0.0,0.23284733295440677,0.0,0.0
31.41,-0.3263678550720215,-0.8484456539154052,-5.26878833770752,-0.25317415595054626,0.09703893959522247,0.0,0.0,0.33096510171890253,0.0,0.0
31.425,-0.3087001442909241,-0.8682816624641417,-2.5188176631927486,-0.1919508278369904,0.07506383955478668,0.0,0.0,0.33096510171890253,0.0,0.0
31.438,-0.2919216752052307,-0.8493765592575073,-26.73172187805176,-0.1343395859003067,-0.3696717619895935,0.0,0.0,0.262645959854126,0.0,0.0
31.451,-0.24071215093135837,-0.5642619132995605,-33.22809219360352,-0.08020329475402832,-1.452895164489746,0.0,0.0,0.023729246109724045,0.0,0.0
31.465,-0.1844409853219986,-0.4279860556125641,0.19865557551383967,-0.02548155561089516,-1.6031346321105957,0.0,0.0,-0.10497606545686722,0.0,0.0
31.478,-0.1289827674627304,-0.47722971439361567,2.181105375289917,0.028721163049340248,-1.6143932342529297,0.0,0.0,-0.10497606545686722,0.0,0.0
31.492,-0.08200050890445709,-0.4040805697441101,-29.08822059631348,0.07773210853338242,-1.312352418899536,0.0,0.0,-0.1920375823974609,0.0,0.0
31.506,-0.035362329334020615,-0.5445814728736876,-1.1886175870895386,0.1245451420545578,-1.4164409637451172,0.0,0.0,-0.2483079433441162,0.0,0.0
31.519,0.015930181369185448,-0.6053449511528015,-8.220690727233887,0.17957539856433868,-0.2617515027523041,0.0,0.0,-0.259990394115448,0.0,0.0
31.533,0.06513737887144089,-0.6393747925758362,-4.4773688316345215,0.2337287962436676,-0.2533079981803894,0.0,0.0,-0.259990394115448,0.0,0.0
31.546,0.10700590163469316,-0.6407808065414429,-1.1816571950912476,0.26574000716209406,-0.6243882775306702,0.0,0.0,-0.1737285852432251,0.0,0.0
31.56,0.10647846013307571,-0.6886337995529175,5.5610785484313965,0.3008039593696594,-1.1172919273376465,0.0,0.0,-0.1436106264591217,0.0,0.0
31.573,0.05820833146572113,-0.7110828161239624,-5.123708724975586,0.23517082631587985,-1.1728155612945557,0.0,0.0,-0.12810921669006348,0.0,0.0
31.586,0.015313728712499142,-0.6687541007995605,12.660099029541016,0.17035077512264252,-1.175544261932373,0.0,0.0,-0.12810921669006348,0.0,0.0
