t,mode,S,prom
0.001,5.0,5.0,0.0
0.01,5.0,5.0,0.0
0.02,5.0,5.0,0.0
0.03,5.0,5.0,0.0
0.04,5.0,5.0,0.0
0.05,5.0,5.0,0.0
0.06,5.0,5.0,0.0
0.07,5.0,5.0,-0.00019525967072695492
0.08,5.0,5.0,-0.0008338523330166936
0.08999999999999998,5.0,5.0,-0.001751585048623383
0.1,5.0,5.0,-0.0026630067499354483
0.11,5.0,5.0,-0.003574428451247513
0.12,5.0,5.0,-0.004432642110623418
0.13,5.0,5.0,-0.005193972564302385
0.14,5.0,5.0,-0.005632107681594789
0.15,5.0,5.0,-0.0056938689260277895
0.16,5.0,5.0,-0.005755630170460792
0.17,5.0,5.0,-0.0056636158027686175
0.18,5.0,5.0,-0.005543637892697006
0.19,5.0,5.0,-0.0054723606095649305
0.2,5.0,5.0,-0.005419443792197854
0.21,5.0,5.0,-0.005366526974830777
0.22,5.0,5.0,-0.0051701414049603045
0.23,5.0,5.0,-0.0049594273907132445
0.24,5.0,5.0,-0.005161799734923989
0.25,5.0,5.0,-0.005896980717079714
0.26,5.0,5.0,-0.00663216169923544
0.27,5.0,5.0,-0.007463172636926173
0.28,5.0,5.0,-0.00788707728497684
0.29,5.0,5.0,-0.007736883172765374
0.3,5.0,5.0,-0.007255483837798238
0.31,5.0,5.0,-0.006774084502831101
0.32,5.0,5.0,-0.00647637436632067
0.33,5.0,5.0,-0.006596258957870305
0.34,5.0,5.0,-0.006878830655477941
0.35,5.0,5.0,-0.00698882897850126
0.36,5.0,5.0,-0.006880483380518854
0.37,5.0,5.0,-0.006634823768399656
0.38,5.0,5.0,-0.006101713492535054
0.39,5.0,5.0,-0.00558447182411328
0.4,5.0,5.0,-0.005208256194600835
0.41,5.0,5.0,-0.004742667893879116
0.42,5.0,5.0,-0.004290067189140245
0.43,5.0,5.0,-0.0036791894584894177
0.44,5.0,5.0,-0.0031232105800881984
0.45,5.0,5.0,-0.002778625977225601
0.46,5.0,5.0,-0.002676426968537271
0.47,5.0,5.0,-0.0025742279598489405
0.48,5.0,5.0,-0.002665932779200375
0.49,5.0,5.0,-0.002932632982265204
0.5,5.0,5.0,-0.0034619641897734254
0.51,5.0,5.0,-0.004113804339431227
0.52,5.0,5.0,-0.004765644489089027
0.53,5.0,5.0,-0.005206908634863794
0.54,5.0,5.0,-0.0054012351669371125
0.55,5.0,5.0,-0.005595585983246565
0.56,5.0,5.0,-0.005765895126387477
0.57,5.0,5.0,-0.006117338500916958
0.58,5.0,5.0,-0.00662267729640007
0.59,5.0,5.0,-0.007140675326809287
0.6,5.0,5.0,-0.007438617525622248
0.61,5.0,5.0,-0.007703423453494906
0.62,5.0,5.0,-0.007744447467848659
0.63,5.0,5.0,-0.00761725481133908
0.64,5.0,5.0,-0.007380319852381944
0.65,5.0,5.0,-0.007172340992838144
0.66,5.0,5.0,-0.006964362133294344
0.67,5.0,5.0,-0.0068401070311665535
0.68,5.0,5.0,-0.006733287312090397
0.69,5.0,5.0,-0.0065879163332283495
0.7,5.0,5.0,-0.006428812630474568
0.71,5.0,5.0,-0.0062697089277207844
0.72,5.0,5.0,-0.006169780110940337
0.73,5.0,5.0,-0.006200044439174235
0.74,5.0,5.0,-0.006254728673957289
0.75,5.0,5.0,-0.006124644144438207
0.76,5.0,5.0,-0.0062046955106779935
0.77,5.0,5.0,-0.0060198888881132
0.78,5.0,5.0,-0.00591005755122751
0.79,5.0,5.0,-0.0058307179482653725
0.8,5.0,5.0,-0.005857421667315066
0.81,5.0,5.0,-0.005965529405511916
0.8199999999999998,5.0,5.0,-0.006238244171254337
0.8299999999999998,5.0,5.0,-0.006725202850066126
0.8399999999999999,5.0,5.0,-0.007364427065476775
0.85,5.0,5.0,-0.008172838715836406
0.86,5.0,5.0,-0.008943277550861238
0.87,5.0,5.0,-0.009713716385886074
0.88,5.0,5.0,-0.010331113683059811
0.89,5.0,5.0,-0.010913820378482342
0.9,5.0,5.0,-0.011459474172443153
0.91,5.0,5.0,-0.011834306921809912
0.92,5.0,5.0,-0.012209139671176672
0.93,5.0,5.0,-0.01232138518244028
0.94,5.0,5.0,-0.012115017324686053
0.95,5.0,5.0,-0.011536435782909391
0.96,5.0,5.0,-0.010692990897223354
0.97,5.0,5.0,-0.009849546011537312
0.98,5.0,5.0,-0.009002979099750518
0.9900000000000002,5.0,5.0,-0.008260321617126466
1.0,5.0,5.0,-0.007406884524971248
1.01,5.0,5.0,-0.0063925640191882845
1.02,5.0,5.0,-0.005378243513405323
1.03,5.0,5.0,-0.004535983805544675
1.04,5.0,5.0,-0.004020696715451777
1.05,5.0,5.0,-0.00372924932744354
1.06,5.0,5.0,-0.0035496963420882815
1.07,5.0,5.0,-0.003370143356733024
1.08,5.0,5.0,-0.0031240251148119567
1.09,5.0,5.0,-0.0028392434120178226
1.1,5.0,5.0,-0.0029190870001912115
1.11,1.0,5.0,-0.003467388357967138
1.12,1.0,5.0,-0.004015689715743065
1.13,1.0,5.0,-0.0045953668421134354
1.14,1.0,5.0,-0.0050416260724887255
1.15,1.0,5.0,-0.005529805761761963
1.16,1.0,5.0,-0.005998791311867535
1.17,1.0,5.0,-0.006495086033828557
1.18,1.0,5.0,-0.006986052799038589
1.19,1.0,5.0,-0.007557472400367261
1.2,1.0,5.0,-0.008206677250564098
1.21,1.0,5.0,-0.008637724770233033
1.22,1.0,5.0,-0.009320649690926077
1.23,1.0,5.0,-0.010137927997857331
1.24,1.0,5.0,-0.011097090132534505
1.25,1.0,5.0,-0.011791486106812956
1.26,1.0,5.0,-0.012485882081091405
1.27,1.0,5.0,-0.012720587197691202
1.28,1.0,5.0,-0.012712533306330442
1.29,1.0,5.0,-0.012695257645100357
1.3,1.0,5.0,-0.012803315185010431
1.31,1.0,5.0,-0.012911372724920512
1.32,1.0,5.0,-0.013166306167840956
1.33,1.0,5.0,-0.013493765518069268
1.34,1.0,5.0,-0.013729586079716685
1.35,1.0,5.0,-0.013815298303961752
1.36,1.0,5.0,-0.013445581682026388
1.37,1.0,5.0,-0.01350824674591422
1.38,1.0,5.0,-0.013537074718624354
1.39,1.0,5.0,-0.013338378397747874
1.4,1.0,5.0,-0.01280632996931672
1.41,1.0,5.0,-0.012346277432516217
1.42,1.0,5.0,-0.01148747159168124
1.43,1.0,5.0,-0.010322845447808504
1.44,1.0,5.0,-0.009024776751175523
1.45,1.0,5.0,-0.007858666544780134
1.46,1.0,5.0,-0.006807121261954307
1.47,1.0,5.0,-0.00575557597912848
1.48,1.0,5.0,-0.004737811523955316
1.49,1.0,5.0,-0.003847649821545929
1.5,1.0,5.0,-0.003124734474113211
1.51,1.0,5.0,-0.0025624940113630145
1.52,1.0,5.0,-0.0020002535486128175
1.53,1.0,5.0,-0.0016175160359125583
1.54,1.0,5.0,-0.0013647703395690768
1.55,1.0,5.0,-0.0012814961781259626
1.56,1.0,5.0,-0.001583363994723186
1.57,1.0,5.0,-0.0018852318113204089
1.58,1.0,5.0,-0.002483586553717032
1.59,1.0,5.0,-0.0029242336808238175
1.6,1.0,5.0,-0.0031009090016596015
1.61,1.0,5.0,-0.003235364763531834
1.62,1.0,5.0,-0.0033698205254040657
1.63,1.0,5.0,-0.0035692066536284982
1.64,1.0,5.0,-0.003961618000175804
1.65,1.0,5.0,-0.004562029044609517
1.66,1.0,5.0,-0.005154963803943246
1.67,1.0,5.0,-0.005747898563276977
1.68,1.0,5.0,-0.006244429515209049
1.69,1.0,5.0,-0.006772154557984323
1.7,1.0,5.0,-0.007270380295813085
1.71,1.0,5.0,-0.007578154816292226
1.72,1.0,5.0,-0.007923503080382942
1.73,1.0,5.0,-0.008094318630173802
