t,k_pos,k_vel,k_acc,a_pos,a_vel,a_acc,e_pos,e_vel,e_acc,R10
13.789,0.06215653195977211,0.34945499897003174,-57.980632781982415,0.22399067878723145,-2.672204971313477,0.0,0.0,-0.9351893663406371,0.0,0.0
13.803,0.007849306799471378,0.3463827967643738,29.114265441894528,0.1788766086101532,-1.691110134124756,0.0,0.0,-0.7968807816505432,0.0,0.0
13.816,-0.015693284571170807,0.3647608458995819,1.4688267707824707,0.13519634306430817,-1.721895694732666,0.0,0.0,-0.7968807816505432,0.0,0.0
13.829,-0.034508008509874344,0.41886532306671137,40.539375305175774,0.07793997228145598,-0.897472620010376,0.0,0.0,-1.3715945482254028,0.0,0.0
13.843,-0.022468809038400647,0.3769360184669495,-6.924064159393311,0.0548405647277832,-1.6545424461364746,0.0,0.0,-1.3360183238983154,0.0,0.0
13.856,0.022151777520775795,0.34172457456588745,0.7061116099357605,0.10827069729566574,-1.6434205770492554,0.0,0.0,-1.3280222415924072,0.0,0.0
13.869,0.0365610346198082,0.35798248648643494,-14.588499069213867,0.15899869799613953,-1.5919528007507324,0.0,0.0,-1.3148832321166992,0.0,0.0
13.883,0.047922533005476,0.384380042552948,-2.8644137382507324,0.18067404627799988,-1.718937873840332,0.0,0.0,-1.252394437789917,0.0,0.0
13.896,0.05124862864613533,0.3845580518245697,0.1851685345172882,0.1674363911151886,-1.9618306159973145,0.0,0.0,-1.17685067653656,0.0,0.0
13.91,-0.00136785046197474,0.35673975944519043,6.618873596191406,0.10981899499893188,-2.0809080600738525,0.0,0.0,-1.1409754753112793,0.0,0.0
13.923,-0.05303973704576492,0.3825255036354065,10.820630073547363,0.052338920533657074,-1.8257796764373777,0.0,0.0,-1.1409754753112793,0.0,0.0
13.936,-0.10233434289693832,0.42169022560119623,5.80128288269043,0.04450873285531998,-0.8296129703521729,0.0,0.0,-1.113871455192566,0.0,0.0
13.949,-0.1431783139705658,0.4609694480895996,7.304175853729248,-0.01081718411296606,-0.22133296728134155,0.0,0.0,-1.023889422416687,0.0,0.0
13.963,-0.16504937410354614,0.4585584402084351,0.219031423330307,-0.06676961481571198,-0.21328991651535037,0.0,0.0,-0.976422905921936,0.0,0.0
13.976,-0.13880904018878937,0.3806366920471192,-2.1970040798187256,-0.08321346342563629,-1.117556929588318,0.0,0.0,-0.976422905921936,0.0,0.0
13.989,-0.1157950758934021,0.27233463525772095,12.064441680908203,-0.08234120160341264,-1.3787338733673096,0.0,0.0,-0.8309000730514526,0.0,0.0
14.003,-0.12122207880020142,0.24167473614215848,-1.5841773748397827,-0.09422926604747772,-1.2783637046813965,0.0,0.0,-0.7196573615074158,0.0,0.0
14.016,-0.13406828045845032,0.19602009654045105,8.96586799621582,-0.12682963907718658,-1.2705360651016235,0.0,0.0,-0.6415790319442749,0.0,0.0
14.029,-0.14730753004550934,0.13752469420433044,18.311302185058597,-0.18556132912635803,-1.059917449951172,0.0,0.0,-0.5739368200302124,0.0,0.0
14.043,-0.15852972865104675,0.03632791340351105,6.907470226287842,-0.23651178181171417,-0.9163902997970579,0.0,0.0,-0.4754467606544495,0.0,0.0
14.056,-0.11711066961288452,-0.004694938659667969,0.4056751728057861,-0.23627406358718872,-0.8587358593940736,0.0,0.0,-0.371755987405777,0.0,0.0
14.069,-0.10785658657550812,-0.09620761871337889,4.8991684913635245,-0.2113533914089203,-0.7123827934265137,0.0,0.0,-0.292881727218628,0.0,0.0
14.083,-0.09391690790653229,-0.12818294763565063,1.6223576068878174,-0.1710287630558014,-0.6672568321228027,0.0,0.0,-0.2332038134336472,0.0,0.0
14.096,-0.09105310589075089,-0.15068452060222626,4.5196852684021,-0.1532231718301773,-0.6555643081665039,0.0,0.0,-0.1820018440485001,0.0,0.0
14.109,-0.0853138267993927,-0.19586834311485288,1.9526571035385127,-0.1121753677725792,-0.6624152660369873,0.0,0.0,-0.15861700475215912,0.0,0.0
14.123,-0.0747852250933647,-0.15106406807899475,-2.8972930908203125,-0.10064680874347688,-0.6880600452423096,0.0,0.0,-0.16567516326904297,0.0,0.0
14.136,-0.06895437836647034,-0.026622995734214783,-10.89474391937256,-0.09489011764526369,-0.7411015033721923,0.0,0.0,-0.17417028546333313,0.0,0.0
