t,mode,S,prom
0.002,5.0,5.0,0.0
0.012,5.0,5.0,0.0
0.022,5.0,5.0,0.0
0.032,5.0,5.0,0.0
0.042,5.0,5.0,0.0
0.052,5.0,5.0,0.0
0.062,5.0,5.0,-0.0001673609483987093
0.072,5.0,5.0,-0.0007704826537519694
0.082,5.0,5.0,-0.0016837445553392171
0.092,5.0,5.0,-0.0025970064569264648
0.102,5.0,5.0,-0.003430094616487622
0.112,5.0,5.0,-0.00412845853716135
0.122,5.0,5.0,-0.004916723631322384
0.132,5.0,5.0,-0.005921399407088757
0.142,5.0,5.0,-0.006926075182855129
0.152,5.0,5.0,-0.008028234355151653
0.162,5.0,5.0,-0.008810022892430425
0.172,5.0,5.0,-0.008790135709568858
0.182,5.0,5.0,-0.007999073842074721
0.192,5.0,5.0,-0.007208011974580586
0.202,5.0,5.0,-0.006216910621151328
0.212,5.0,5.0,-0.0052861291449517005
0.222,5.0,5.0,-0.004101886367425323
0.232,5.0,5.0,-0.002531394921243191
0.242,5.0,5.0,-0.000960903475061059
0.252,5.0,5.0,0.0005836658645421266
0.262,5.0,5.0,0.0016877639689482748
0.272,5.0,5.0,0.0022595574380829928
0.282,5.0,5.0,0.002378423813206609
0.292,5.0,5.0,0.0024972901883302256
0.302,5.0,5.0,0.002564015515963547
0.312,5.0,5.0,0.00275581129535567
0.322,5.0,5.0,0.0026844718697248025
0.332,5.0,5.0,0.0023797334608389063
0.342,5.0,5.0,0.00207499505195301
0.352,5.0,5.0,0.0019502180366544053
0.362,5.0,5.0,0.002083898041746579
0.372,5.0,5.0,0.002310135468724184
0.382,5.0,5.0,0.002429615157598164
0.392,5.0,5.0,0.002549094846472144
0.402,5.0,5.0,0.0020916911540552973
0.412,5.0,5.0,0.0008011583006009461
0.422,5.0,5.0,-0.0005236458964645864
0.432,5.0,5.0,-0.0015107281273230911
0.442,5.0,5.0,-0.0028741412330418824
0.452,5.0,5.0,-0.004294110229238868
0.462,5.0,5.0,-0.005807419097982347
0.472,5.0,5.0,-0.006542348419316113
0.482,5.0,5.0,-0.007273407210595905
0.492,5.0,5.0,-0.008184972661547362
