t,mode,S,prom
0.49,5.0,5.0,0.03250116035342217
0.5,5.0,5.0,0.030266524478793144
0.51,5.0,5.0,0.029208588227629666
0.52,5.0,5.0,0.029167916253209115
0.53,5.0,5.0,0.028122472763061523
0.54,5.0,5.0,0.02599916993640363
0.55,5.0,5.0,0.022412169678136706
0.56,5.0,5.0,0.01770820948295295
0.57,5.0,5.0,0.01258056121878326
0.58,5.0,5.0,0.007452912954613566
0.59,5.0,5.0,0.0017754204105585813
0.6,5.0,5.0,-0.005226388620212674
0.61,5.0,5.0,-0.01326571931131184
0.62,5.0,5.0,-0.021761990385130048
0.63,5.0,5.0,-0.029253489943221207
0.64,5.0,5.0,-0.03520725127309561
0.65,5.0,5.0,-0.04009191412478685
0.66,5.0,5.0,-0.04488552361726761
0.67,5.0,5.0,-0.049878668785095205
0.68,5.0,5.0,-0.054871813952922815
0.69,5.0,5.0,-0.0596298810094595
0.7,5.0,5.0,-0.06359209083020687
0.71,5.0,5.0,-0.06629556007683277
0.72,5.0,5.0,-0.06836080513894557
0.73,5.0,5.0,-0.07042605020105838
0.74,5.0,5.0,-0.0723300613462925
0.75,5.0,5.0,-0.07305590286850931
0.76,5.0,5.0,-0.07237947545945644
0.77,5.0,5.0,-0.07131643109023571
0.78,5.0,5.0,-0.07025338672101497
0.79,5.0,5.0,-0.0695367369800806
0.8,5.0,5.0,-0.06918004341423512
0.81,5.0,5.0,-0.06888520531356335
0.8199999999999998,5.0,5.0,-0.06806489489972592
0.8299999999999998,5.0,5.0,-0.06724458448588848
0.8399999999999999,5.0,5.0,-0.06579463221132756
0.85,5.0,5.0,-0.06466028206050396
0.86,5.0,5.0,-0.0637265533208847
0.87,5.0,5.0,-0.06170306578278541
0.88,5.0,5.0,-0.05967957824468613
0.89,5.0,5.0,-0.05609920471906662
0.9,5.0,5.0,-0.051629460230469694
0.91,5.0,5.0,-0.04701145347207784
0.92,5.0,5.0,-0.04246238637715578
0.93,5.0,5.0,-0.03791331928223372
0.94,5.0,5.0,-0.033745015226304534
0.95,5.0,5.0,-0.030392082408070564
