timestamp,ax,ay,az,gx,gy,gz,roll,pitch,delay_ms,classe_prevista
1777409977376,0.184463,0.759265,-0.0448947,-0.0019382,-0.00557968,0.00452248,0,0,3.26803,-1
1777409977389,0.20739,0.85622,-0.051079,-0.00209159,-0.00704066,0.00517984,0,0,3.26393,-1
1777409977403,0.21801,0.895108,-0.054639,-0.00142997,-0.0079671,0.00555594,0,0,3.27262,-1
1777409977416,0.222041,0.916961,-0.0540173,-0.00139878,-0.00850041,0.00577583,0,0,3.26727,-1
1777409977429,0.224845,0.931289,-0.0539581,-0.00137928,-0.00868667,0.0062669,0,0,3.26121,-1
1777409977443,0.22693,0.94,-0.0551595,-0.00129074,-0.00877692,0.00655379,0,0,3.26221,-1
1777409977456,0.228908,0.946434,-0.0563873,-0.00124795,-0.00900706,0.00640211,0,0,3.30021,-1
1777409977470,0.230107,0.951102,-0.0580443,-0.00144969,-0.00923181,0.00643271,0,0,3.26506,-1
1777409977483,0.230943,0.955388,-0.0591848,-0.00135231,-0.00936527,0.00656323,0,0,3.25067,-1
1777409977496,0.230996,0.959183,-0.0596426,-0.00122436,-0.00921313,0.00654712,0,0,3.26745,-1
1777409977510,0.231186,0.961922,-0.0595145,-0.00130727,-0.00923059,0.0064808,0,0,3.25671,-1
1777409977523,0.232163,0.964076,-0.0595877,-0.00137731,-0.00923825,0.00636095,0,0,3.24566,-1
1777409977536,0.232464,0.966072,-0.0601435,-0.0013033,-0.00940565,0.00641236,0,0,3.25288,-1
1777409977550,0.232807,0.967866,-0.0605849,-0.00137296,-0.00956367,0.00655898,0,0,3.25229,-1
1777409977563,0.23305,0.969536,-0.0603283,-0.00134865,-0.00955584,0.00648016,0,0,3.27418,-1
1777409977576,0.232682,0.970789,-0.0603076,-0.00132127,-0.00947851,0.0064456,0,0,3.25736,-1
1777409977590,0.23308,0.97158,-0.0602528,-0.00129685,-0.00949456,0.00649979,0,0,3.25492,-1
1777409977603,0.233068,0.972765,-0.0600631,-0.00126395,-0.00942105,0.00657041,0,0,3.25706,-1
1777409977616,0.233501,0.97392,-0.0601483,-0.0012075,-0.00936536,0.00658071,0,0,3.2516,-1
1777409977630,0.233661,0.974768,-0.0603091,-0.00117193,-0.00932526,0.00653267,0,0,3.2541,-1
1777409977643,0.233856,0.975966,-0.0606516,-0.00125693,-0.00933465,0.00661653,0,0,3.25054,-1
1777409977656,0.234178,0.97655,-0.0604845,-0.00118948,-0.00917794,0.00657307,0,0,3.2586,-1
1777409977670,0.234616,0.977165,-0.0602208,-0.00118662,-0.00924082,0.00657746,0,0,3.25782,-1
1777409977683,0.234585,0.977654,-0.0606603,-0.00117428,-0.0093036,0.00663971,0,0,3.25708,-1
1777409977696,0.234924,0.978702,-0.0603013,-0.00111982,-0.00928026,0.00656804,0,0,3.2564,-1
1777409977710,0.23483,0.979023,-0.0609363,-0.00113556,-0.00910268,0.00662456,0,0,3.26527,-1
1777409977723,0.235161,0.978962,-0.061047,-0.0011829,-0.0090688,0.00674248,0,0,3.25088,-1
1777409977736,0.235602,0.979394,-0.0608982,-0.00113892,-0.00899562,0.00668076,0,0,3.25679,-1
1777409977750,0.235557,0.979856,-0.0607596,-0.00111174,-0.00889992,0.00678859,0,0,3.27134,-1
1777409977764,0.236011,0.980446,-0.0609363,-0.00104537,-0.00897926,0.00672055,0,0,4.14694,-1
1777409977778,0.235914,0.980563,-0.0606816,-0.00096076,-0.00898547,0.00663438,0,0,3.6226,-1
1777409977791,0.236126,0.980802,-0.0604291,-0.000971621,-0.00902277,0.00665727,0,0,3.60562,-1
1777409977805,0.236138,0.980954,-0.0603787,-0.000981786,-0.0091248,0.00670555,0,0,3.60095,-1
1777409977819,0.235935,0.981439,-0.0602888,-0.0010403,-0.00918921,0.00671516,0,0,3.60469,-1
1777409977832,0.2361,0.981865,-0.0598926,-0.00103751,-0.00917866,0.00674634,0,0,3.60229,-1
1777409977846,0.236593,0.982137,-0.0600293,-0.00108791,-0.00918202,0.00674026,0,0,3.60262,-1
1777409977860,0.236325,0.981914,-0.0601577,-0.0010824,-0.00913674,0.00671253,0,0,3.60632,-1
1777409977873,0.236297,0.981649,-0.0599976,-0.00117378,-0.00911176,0.00666893,0,0,3.59047,-1
1777409977887,0.236131,0.980545,-0.0601271,-0.00113711,-0.00908828,0.00670674,0,0,3.58119,-1
1777409977901,0.235946,0.981155,-0.0599835,-0.000849361,-0.00915791,0.00702613,0,0,3.5744,-1
1777409977914,0.235912,0.983387,-0.0600993,-0.000731159,-0.00912318,0.00729611,0,0,3.57668,-1
