experiment,accuracy,precision,recall,f1_score,RAE,RSE,R2,training_time_s,epochs
layers_512-256-128-64_s1,0.7688718328899743,0.8179078725081211,0.7688718328899743,0.7793881598479857,0.4561822302152409,0.8296306950041453,0.1703693049958548,63.80255460739136,24
layers_256-256-128-64_s1,0.7483319523788757,0.8007844624538278,0.7483319523788757,0.7604638869192948,0.49385891460519504,0.8934436354014748,0.10655636459852524,47.71769976615906,18
layers_256-128-64-32_s1,0.73485674414548,0.8010455475543803,0.73485674414548,0.747009928762561,0.5270614927238421,0.9614108200831141,0.03858917991688604,87.71419596672058,36
