time,ax,ay,az,gx,gy,gz
1746730179.7701786,-0.66,-9.32,-8.19,0.07,0.02,0.03
1746730179.7786179,-0.71,-9.39,-7.93,0.12,-0.0,0.02
1746730179.7870533,-0.58,-9.47,-7.67,0.1,-0.0,0.02
1746730179.7954557,-0.49,-9.56,-7.44,0.03,0.01,0.03
1746730179.8118632,-0.45,-9.63,-7.66,-0.06,0.05,0.07
1746730179.8202157,-0.5,-9.44,-8.02,-0.02,0.07,0.11
1746730179.8286488,-0.62,-9.25,-8.08,0.08,0.05,0.1
1746730179.8616974,-0.89,-9.31,-7.77,0.14,0.04,0.1
1746730179.8616974,-0.8,-9.31,-7.66,0.11,0.03,0.09
1746730179.8616974,-0.85,-9.42,-7.66,0.04,0.05,0.1
1746730179.8701737,-0.8,-9.39,-7.73,-0.01,0.06,0.11
1746730179.878611,-0.94,-9.24,-8.02,0.01,0.04,0.09
1746730179.8883836,-0.8,-9.25,-8.2,0.05,-0.0,0.08
1746730179.8953316,-0.79,-9.54,-8.12,0.1,-0.03,0.08
1746730179.9118366,-1.05,-9.5,-7.88,0.15,-0.03,0.1
1746730179.9199176,-1.15,-9.43,-7.91,0.13,-0.04,0.07
1746730179.9281132,-1.16,-9.55,-7.88,0.09,-0.05,0.05
1746730179.9530733,-1.19,-9.26,-7.73,0.09,-0.04,0.02
1746730179.9530733,-1.11,-9.41,-7.9,0.07,-0.04,-0.0
1746730179.9610977,-0.95,-9.56,-8.04,0.07,-0.04,-0.01
1746730179.9692657,-1.09,-9.42,-7.92,0.07,-0.05,-0.03
1746730179.977614,-0.81,-9.53,-8.12,0.09,-0.04,-0.03
1746730179.9858274,-0.49,-9.56,-7.85,0.15,-0.06,-0.02
1746730180.0021434,-0.52,-9.66,-7.72,0.18,-0.04,0.0
1746730180.0103302,-0.57,-9.71,-7.63,0.14,-0.01,0.04
1746730180.0185683,-0.62,-9.51,-7.64,0.12,0.01,0.06
1746730180.0268157,-0.65,-9.47,-7.43,0.12,0.02,0.07
1746730180.05139,-0.8,-9.54,-7.44,0.13,0.05,0.08
1746730180.05139,-1.32,-9.39,-7.69,0.04,0.06,0.07
1746730180.0597966,-0.82,-9.36,-7.73,0.04,0.07,0.04
1746730180.0682826,-0.85,-8.85,-7.61,0.05,0.07,0.03
1746730180.0767405,-1.13,-9.3,-7.8,0.05,0.07,0.02
1746730180.0851214,-1.1,-9.39,-7.81,0.03,0.03,0.01
1746730180.1014206,-0.99,-9.19,-7.66,0.05,0.03,-0.01
1746730180.109735,-1.0,-9.22,-8.13,0.08,0.01,-0.04
1746730180.118241,-1.04,-9.27,-7.9,0.1,0.01,-0.04
1746730180.1268146,-1.14,-9.28,-7.93,0.11,0.0,-0.06
1746730180.1684449,-1.03,-9.11,-7.88,0.14,-0.01,-0.09
1746730180.1767473,-1.05,-9.37,-7.77,0.16,-0.03,-0.09
1746730180.1767473,-1.11,-9.27,-7.75,0.17,-0.03,-0.1
1746730180.1767473,-1.04,-9.39,-7.83,0.13,-0.04,-0.11
1746730180.1767473,-0.98,-9.27,-7.84,0.13,-0.05,-0.12
1746730180.1931753,-0.76,-9.56,-7.93,0.16,-0.07,-0.12
1746730180.2016628,-0.81,-9.47,-7.77,0.18,-0.07,-0.1
1746730180.2108424,-0.76,-9.46,-7.87,0.18,-0.06,-0.09
1746730180.2191298,-0.66,-9.44,-7.8,0.21,-0.07,-0.09
1746730180.227331,-0.55,-9.4,-7.62,0.23,-0.07,-0.09
1746730180.2745676,-0.55,-9.67,-7.5,0.21,-0.06,-0.07
1746730180.27558,-1.04,-9.67,-7.44,0.18,-0.04,-0.03
1746730180.2771282,-0.78,-9.38,-7.56,0.14,-0.06,-0.03
1746730180.2771282,-0.87,-9.34,-7.6,0.13,-0.08,-0.05
1746730180.2829885,-0.92,-9.45,-7.61,0.13,-0.1,-0.06
1746730180.2922537,-1.14,-9.21,-7.56,0.15,-0.11,-0.07
1746730180.3030272,-1.24,-9.48,-7.73,0.15,-0.11,-0.09
1746730180.3089309,-1.48,-9.62,-7.82,0.06,-0.13,-0.1
1746730180.317305,-1.66,-9.36,-7.89,-0.02,-0.16,-0.14
